Restaurant Name,Aggregate rating,Rating Range,Count,,Votes,Average
Chick-fil-A,3.5,,,,67,
Guang Zhou Chinese Restaurant,3.9,,,,141,
Harvest Moon,3.7,,,,147,
Henry Campbell's Steakhouse,3.5,,,,51,
Hong Kong Cafe,3.6,,,,88,
House of China Restaurant II,3.8,,,,153,
Jimmie's Hot Dogs,3.9,,,,160,
Locos Grill & Pub,3.5,,,,57,
Longhorn Steakhouse,3.5,,,,58,
Mikata Japanese Steakhouse,3.6,,,,115,
Shogun Japanese Steak House,3.5,,,,51,
The Catch Seafood Room & Oyster Bar,3.8,,,,250,
Villa Gargano,3.7,,,,117,
3 Squares Diner,3.4,,,,20,
Whitebull Hotel,3.5,,,,25,
Last Resort Grill,4.5,,,,1821,
Mama's Boy Restaurant,4.5,,,,849,
Sr. Sol 1,4.6,,,,917,
Choo Choo Eastside,3.9,,,,439,
The Grill,3.7,,,,289,
Big City Bread Cafe,4.3,,,,558,
Clocked,4.2,,,,613,
DePalma's Italian Cafe - Downtown,4,,,,353,
DePalma's Italian Cafe - East Side,4.1,,,,387,
Five & Ten,4.3,,,,755,
Grit,4.2,,,,800,
Ike & Jane,4.1,,,,350,
La Dolce Vita Ristorante,4.1,,,,464,
Shokitini,4.2,,,,550,
Taqueria Del Sol,4.1,,,,543,
The National,4.1,,,,465,
The Royal Peasant,4.4,,,,546,
Transmetropolitan,4.4,,,,1098,
Trappeze Pub,4.2,,,,579,
Viva! Argentine Cuisine,4.1,,,,374,
Miyabi Kyoto Japanese Steak House,4.6,,,,717,
Rae's Coastal Cafe,4.9,,,,548,
The Bee's Knees,4.5,,,,631,
Boll Weevil Cafe,3.9,,,,372,
Farmhaus Burger,3.9,,,,201,
Manuel's Bread Cafe,3.8,,,,332,
Sconyers Bar B Que,3.5,,,,304,
Frog Hollow Tavern,4.3,,,,368,
Giuseppe's Pizza & Italian Specialities,4.1,,,,430,
Mellow Mushroom,4.4,,,,433,
Nacho Mamas Burritos,4,,,,380,
Rhinehart's Oyster Bar,4,,,,456,
Takosushi,4.2,,,,647,
The Chop House,4,,,,360,
The Taj of India,4,,,,227,
Augsburg Haus,3.9,,,,290,
Pho Bac,4.1,,,,270,
Rhinehart's Oyster Bar,4,,,,326,
Thai Kitchen,4.3,,,,317,
El Kiosco Mexican Restaurant,4.2,,,,300,
Taste of Balingup,3.2,,,,21,
Bridge Road Brewers,4.6,,,,237,
Bardenay,4.5,,,,879,
Flatbread Neapolitan Pizzeria,4.6,,,,615,
Goldy's Breakfast Bistro,4.5,,,,879,
Chandlers Steakhouse,3.9,,,,379,
Bar Gernika Basque Pub & Eatery,4.3,,,,303,
Barbacoa Restaurant,4.1,,,,538,
Big Jud's,4.2,,,,334,
Bittercreek Ale House,4.3,,,,555,
Boise Fry Company,4.4,,,,823,
Flying Pie Pizzaria,4.1,,,,550,
Fork,4.4,,,,650,
Guido's Original New York Style Pizza,4.3,,,,410,
Los Beto's,4.4,,,,660,
Lucianos Italian Restaurant,4.4,,,,360,
Mai Thai Restaurant,4,,,,340,
Shige Japanese Cuisine,4.1,,,,393,
The Egg Factory,4.3,,,,422,
Tucanos,4,,,,435,
Texas Roadhouse,4,,,,369,
Brick 29,4.4,,,,487,
Winifreds,3.7,,,,98,
Biaggi's Ristorante Italiano,4.1,,,,365,
El Super Burrito,4.1,,,,190,
Granite City Food & Brewery,4.1,,,,429,
Irish Democrat,4.4,,,,430,
Taste of India,4.2,,,,186,
Thai Moon Restaurant,4.2,,,,220,
Ting's Red Lantern,4.2,,,,347,
Monica's,3.8,,,,161,
Exotic India,4.1,,,,160,
Shorts Burger and Shine,4.9,,,,820,
The Hamburg Inn No. 2 Inc.,4.5,,,,488,
Bluebird Diner,3.6,,,,253,
Graze,3.8,,,,220,
A & A Pagliai's Pizza,4.3,,,,485,
Atlas World Grill,4.3,,,,428,
BlackStone,4.1,,,,294,
Devotay,4,,,,380,
Jimmy Jack's Rib Shack,4.2,,,,259,
Zoeys Pizzeria,4.7,,,,433,
Tokyo Sushi,3.7,,,,176,
Berry Patch Restaurant,4.3,,,,96,
Sakura Sushi & Grill,3.1,,,,6,
Uptown Vietnam cuisine,3.3,,,,33,
Cafe Le Rue @ The Landings,4.6,,,,489,
Mark's City Grille,4.5,,,,345,
B Merrell's,3.8,,,,149,
Cannon Brewpub,3.9,,,,330,
Fuji Japanese Steak House,3.9,,,,247,
Ruth Ann's Family Restaurant,3.7,,,,123,
Samurai Japanese Cuisine & Sushi Bar,3.6,,,,109,
Wasabi Sushi and Thai,3.7,,,,134,
Buckhead Bar and Grill,4.2,,,,722,
Burt's Butcher Shoppe and Eatery,4.3,,,,213,
Chef Lee's Peking Restaurant,4,,,,335,
Country's Barbecue,4,,,,353,
Deorio's,4,,,,170,
Mellow Mushroom,4.1,,,,192,
Meritage,4.1,,,,302,
Mongo The Mongolian Fire Pit,4.2,,,,355,
The Black Cow,4.3,,,,287,
Wood Stone,4,,,,264,
Hunter's Pub,4.4,,,,235,
Consort Restaurant,3,,,,6,
Thatcher's Barbeque and Grill,3.7,,,,38,
Christian and Jake's Bistro,4.4,,,,122,
Dub's High on the Hog,4.4,,,,207,
Sierra's Mexican Restaurant,3.9,,,,66,
Oakwood Cafe,4.9,,,,249,
Chili's Grill & Bar,3.8,,,,63,
Fuji Japanese Steakhouse,3.8,,,,145,
Las Palmas,3.8,,,,83,
Tony's Italian Restaurant & Pizza,3.7,,,,116,
Filling Station,4.1,,,,122,
Five Guys Burgers and Fries,4.1,,,,142,
Los Pablos,4.1,,,,114,
Kobe Hibachi & Sushi,4.6,,,,214,
Soho Hibachi,4.3,,,,116,
Thai Garden,4.2,,,,111,
Southern Bliss Bakery,3.7,,,,25,
Bailey's Bar-B-Que,4.1,,,,128,
Farm To Fork,4.3,,,,244,
Home Plate Grill,4.2,,,,112,
Pie Slingers Pizzeria,4.1,,,,144,
Olive Tree Cafe,4.6,,,,166,
"Red Ginger Sushi, Grill & Bar",4.5,,,,208,
Crust Stone Oven Pizza,3.9,,,,136,
Jimmy's Pancake House,4,,,,85,
Trattoria Tiramisu,4.1,,,,117,
Prairie Grille at SteepleGate Inn,3.4,,,,53,
Tantra Asian Bistro,4.9,,,,474,
Chick-fil-A,3.9,,,,125,
Duck City Bistro,3.7,,,,201,
Frick's Tap,0,,,,2,
Los Agaves,0,,,,3,
Azteca,4.3,,,,167,
China Cafe,4,,,,112,
Exotic Thai Restaurant,4.1,,,,256,
Front Street Brewery,4.3,,,,123,
Granite City Food & Brewery,4,,,,199,
Los Agaves,4.1,,,,157,
Machine Shed Restaurant,4.1,,,,100,
Osaka,4.2,,,,141,
Texas Roadhouse,4.2,,,,197,
Hickory Park,4.5,,,,1025,
The Cafe,4.9,,,,570,
Flying Mango,4.5,,,,674,
Cool Basil,4.1,,,,496,
HuHot Mongolian Grill,4,,,,411,
Malo,3.2,,,,113,
Centro,4.5,,,,1109,
Fong's Pizza,4.6,,,,728,
A Dong Restaurant,4.4,,,,659,
Court Avenue Brewing Company,4.2,,,,370,
Django,4.3,,,,532,
Miyabi 9,4.8,,,,860,
Zombie Burger + Drink Lab,4.2,,,,943,
Tursi's Latin King,4.1,,,,476,
Tsing Tsao South,4.1,,,,218,
Bandit Burrito,4,,,,214,
Jethro's BBQ,4.3,,,,699,
The Machine Shed Restaurant,3.8,,,,308,
Mi Patria,4,,,,157,
Waterfront Seafood Market,4.2,,,,530,
The Giggling Goat,3.6,,,,29,
Burnt Toast Cafe,3.4,,,,33,
Catfish Charlie's,3.3,,,,40,
Salsa's Mexican Restaurant,3.4,,,,153,
Tony Roma's,3.3,,,,65,
Vinny Vanucchi's,3.4,,,,58,
Champps Americana,3.5,,,,100,
Fiesta Cancun,3.6,,,,156,
Happy Joe's Pizza & Ice Cream,3.5,,,,74,
Houlihan's,3.6,,,,117,
Ichiban Hibachi Steakhouse & Sushi Bar,3.7,,,,83,
Kalmes Breaktime Bar & Grill,3.6,,,,48,
L. May Eatery,3.8,,,,198,
Los Aztecas,3.5,,,,126,
Manna Java World Cafe,3.5,,,,119,
Mario's Italian Restaurant,3.6,,,,140,
Pepper Sprout Incorporated,3.6,,,,159,
Shot Tower Inn,3.6,,,,131,
Sunshine Family Restaurant,3.5,,,,60,
Watershed Cafe,3.7,,,,89,
Woodfire Grille,3.6,,,,72,
The Belle General,4.1,,,,56,
Jehova es Mi Pastor Tacos y Burritos,3.7,,,,83,
Flaxton Gardens,3.5,,,,37,
Bespoke Harvest,3.7,,,,29,
Houndstooth Grill & Tavern,4.4,,,,239,
Hawg Wild BBQ & Catfish House,4.1,,,,235,
Bourbon Street Grille,3.8,,,,88,
Corkscrew Cafe,3.9,,,,209,
Smokin Gold BBQ,3.9,,,,133,
Hoka-Hoka Japanese Steak & Sushi,4.4,,,,267,
Shenanigan's Irish Pub,4.1,,,,171,
Fish Tales Lakeside Grille,3.8,,,,107,
Antebellum,4.3,,,,164,
Moonie's Texas Barbecue,4.1,,,,182,
Atlanta Highway Seafood Market,4.9,,,,681,
Eat at Thai,4.6,,,,357,
Smoke House BBQ and Catering,3.8,,,,89,
2 Dog,4.2,,,,350,
Longstreet Cafe,4.3,,,,298,
Re-Cess,4.2,,,,319,
Bodensee,3.8,,,,114,
Hofer's Bakery & Cafe,3.9,,,,136,
Troll Tavern,2.2,,,,108,
The Nacoochee Village Tavern & Pizzeria,4,,,,161,
Blue Bean Love Cafe,3.8,,,,192,
La Trattoria of Lavandula,3.8,,,,93,
5 Little Pigs,4.1,,,,40,
Beach Box Cafe,3.7,,,,100,
Funkey Monkey,3.8,,,,97,
Burger Queen Drive In,3.6,,,,41,
Blue Orchid Thai Restaurant,4.5,,,,799,
Stillwater on Belmore,3.6,,,,18,
Mr.,3.5,,,,31,
Emilio's Cuban Cafe,3.9,,,,146,
Ingleside Village Pizza,4.9,,,,478,
Jim Shaw's Seafood Grill & Bar,4.6,,,,467,
Mandarin Chinese Restaurant,4.5,,,,302,
Rookery,4.5,,,,289,
Dovetail,3.8,,,,102,
Bonefish Grill,4.1,,,,293,
Downtown Grill,4,,,,195,
Greek Corner Deli,4.3,,,,244,
Natalia's,4.2,,,,379,
Papouli's Mediterranean Cafe & Market,4.2,,,,223,
Benson's Steak and Sushi,3.7,,,,243,
My Fathers Place,3.7,,,,104,
Sushi Thai Restaurant,3.7,,,,153,
The Mellow Mushroom,3.8,,,,323,
El Jalisciense Mexican Restaurant,4.1,,,,181,
Greek Village,4,,,,316,
Martin's BBQ,4.2,,,,288,
Thai Pepper,4,,,,232,
Zen Japanese Steakhouse and Sushi Bar,4.1,,,,314,
Star Buffet,2.9,,,,11,
Triangle Restaurant,2.4,,,,17,
Three Anchors,3.8,,,,176,
HI Lite Bar & Lounge,3.4,,,,11,
Vince's Restaurant & Pizzeria,3.6,,,,65,
Poets Cafe,2.4,,,,193,
The Artesian Restaurant,3.6,,,,30,
Cev?_che Tapas Bar & Restaurant,4.4,,,,981,
'Ohana,4.5,,,,1151,
Earl of Sandwich,4.7,,,,1341,
Raglan Road Irish Pub and Restaurant,4.3,,,,782,
Caf?? Tu Tu Tango,4.6,,,,1293,
Texas de Brazil,4.6,,,,2324,
Bahama Breeze Island Grille,4.3,,,,910,
Maggiano's Little Italy,4.4,,,,886,
Hawkers Asian Street Fare,4.6,,,,1293,
Tako Cheena by Pom Pom,4.4,,,,570,
Seasons 52 Fresh Grill,4.4,,,,1685,
Hollerbach's Willow Tree Caf??,4.8,,,,1699,
Pom Pom's Teahouse and Sandwicheria,4.9,,,,1457,
Yellow Dog Eats,4.9,,,,1252,
Tibby's New Orleans Kitchen,4.7,,,,1412,
The Coop,3.6,,,,432,
Bosphorous Turkish Cuisine,4.2,,,,568,
Ethos Vegan Kitchen,4.4,,,,797,
Hillstone,4.4,,,,1158,
The Ravenous Pig,4.4,,,,1998,
Vivo Bar and Grill,4.4,,,,381,
Pier 70,2.6,,,,16,
DiVine,3.4,,,,19,
Cactus Flower Cafe Navarre,4.2,,,,635,
McGuire's Irish Pub & Brewery,4.9,,,,2238,
New Yorker Deli & Pizzeria,4.6,,,,792,
Tu-Do Vietnamese Restaurant,4.5,,,,828,
Carrabba's Italian Grill,3.7,,,,292,
Jaco's Bayfront Bar and Grille,3.9,,,,502,
The Tin Cow,3.7,,,,559,
Cactus Flower Cafe,4.2,,,,1268,
Dharma Blue,4.1,,,,669,
Global Grill,4.4,,,,900,
Ichiban,4.3,,,,765,
The Fish House,4,,,,1270,
Tuscan Oven,4.1,,,,502,
Flounders Chowder House,3.9,,,,724,
Hemingway's Island Grill,3.5,,,,479,
Native Cafe,4.2,,,,591,
Peg Leg Pete's,4.4,,,,1408,
The Grand Marlin,4.3,,,,905,
Original Georgios Authentic Greek Food,4.7,,,,816,
Fisherman's Corner,4.4,,,,747,
Mad Cowes Cafe,3.7,,,,351,
Rupes Burgers,3.7,,,,104,
Texas Roadhouse,3.5,,,,83,
Riverwalk Cafe,3.6,,,,91,
Royal Hotel,3.6,,,,59,
Buddy's Italian Restaurant,3.7,,,,222,
Butterburrs,3.6,,,,121,
Chang Garden,3.5,,,,93,
Fifth Street Bagelry,3.8,,,,136,
Goody's Deli,3.8,,,,160,
Grecian Key Restaurant,3.7,,,,152,
Outer Limits Fun Zone,3.5,,,,57,
Portneuf Valley Brewing,3.7,,,,191,
Sandpiper Restaurant & Lounge,3.6,,,,85,
Senor Iguanas,3.6,,,,108,
Sushi Family,3.6,,,,132,
Taste of India Nepal,3.8,,,,141,
Thai Paradise,3.7,,,,162,
The Bridge,3.6,,,,144,
Nosh Mahal,0,,,,1,
El Herradero,4.1,,,,365,
Barrett Junction Cafe,3.3,,,,9,
Blue Point Grill,4,,,,542,
Giovanni's Shrimp Truck,4.5,,,,691,
Kona Brewing Company,4.7,,,,764,
Leonard's Bakery,4.7,,,,707,
Coconuts Fish Cafe,4.5,,,,487,
Kihei Caffe,4.5,,,,695,
Monkeypod Kitchen by Merriman,4.2,,,,485,
Sansei Seafood Restaurant & Sushi Bar,4.2,,,,807,
Star Noodle,4.6,,,,723,
Aloha Mixed Plate,4.2,,,,874,
Gazebo,4.4,,,,552,
Hula Grill,4.3,,,,1056,
Kimo's,4.3,,,,707,
Mama's Fish House,4.9,,,,1343,
Marukame Udon,4.9,,,,602,
Yard House,4.6,,,,1078,
Lulu's Waikiki,3.9,,,,232,
Duke's Waikiki,4.4,,,,1492,
Eggs 'n Things,4,,,,535,
Roy's,4.2,,,,531,
Wailana Coffee House,4.2,,,,694,
The Lady & Sons,3.3,,,,1201,
Green Truck Pub,4.7,,,,906,
Leopold's Ice Cream,4.6,,,,880,
Mrs. Wilkes' Dining Room,4.5,,,,1014,
Zunzi's,4.5,,,,796,
Moon River Brewing Company,3.7,,,,747,
Pirates' House Restaurant,3.8,,,,566,
B. Matthew's Eatery,4.1,,,,683,
Crystal Beer Parlor,4.4,,,,690,
Goose Feathers Cafe and Bakery,4.2,,,,680,
Henry's,4.1,,,,287,
Huey's On The River,4.1,,,,802,
J. Christopher's,4.3,,,,710,
Lulu's Chocolate Bar,4.3,,,,456,
Rocks on the River,4,,,,687,
SOHO South Cafe,4.3,,,,719,
The Olde Pink House,4.4,,,,1803,
Vic's On The River,4.1,,,,558,
The Crab Shack,3.8,,,,883,
Tybee Island Social Club,3.9,,,,309,
Sky On 57,3.4,,,,34,
Cut By Wolfgang Puck,4,,,,33,
Restaurant Andre,3.8,,,,33,
Potato Head Folk,3.1,,,,34,
Jaan,3.8,,,,35,
Rhubarb Le Restaurant,3.9,,,,33,
Al'frank Cookies,4.2,,,,29,
Fratini La Trattoria,4.1,,,,35,
Boufe Boutique Cafe,3.2,,,,29,
The Refinery Singapore,3.2,,,,30,
Chye Seng Huat Hardware,3.7,,,,33,
Makansutra Gluttons Bay,3,,,,25,
Colony,3.8,,,,30,
Summer Pavilion,3.9,,,,34,
The Lokal,3.1,,,,33,
I Am,3.2,,,,32,
Super Loco,3.2,,,,30,
Artistry,3.8,,,,28,
Bitters & Love,3.9,,,,35,
Artichoke Cafe,3.2,,,,33,
Archie's Waeside,3.7,,,,100,
Bob Roe's Pizza,3.6,,,,92,
Da Kao Restaurant,3.8,,,,182,
Famous Dave's,3.6,,,,76,
Fuji Bay Japanese Restaurant,3.7,,,,129,
HuHot Mongolian Grill,3.6,,,,94,
Hunan Palace,3.8,,,,129,
Jerry's Pizza,3.8,,,,178,
Jim's Burgers,3.7,,,,97,
Johnnie Mars,3.9,,,,161,
Miles Inn,3.7,,,,122,
Milwaukee Wiener House,3.8,,,,195,
Minerva's Food & Cocktails,3.7,,,,146,
Monterrey Mexican Restaurant,3.7,,,,117,
Rebos,3.8,,,,187,
Tokyo Japanese Steakhouse & Sushi Bar,3.9,,,,239,
Diamond Thai Cuisine,4,,,,303,
El Fredo Pizza,4,,,,280,
Trattoria Fresco,4,,,,271,
Kahill's Steak-Fish Chophouse,3.5,,,,58,
Rumba Island Bar & Grill,4.6,,,,1321,
Red Mesa Cantina,4.6,,,,1629,
BellaBrava,4.1,,,,921,
Ceviche Tapas Bar & Restaurant,4.1,,,,986,
The Moon Under Water,4.1,,,,1020,
Bern's Steak House,4.7,,,,3157,
Boca Kitchen Bar Market,3.9,,,,665,
Edison: Food+Drink Lab,3.9,,,,373,
Ceviche Tapas Bar & Restaurant,4.4,,,,1007,
Daily Eats,4.4,,,,803,
Salt Rock Grill,4.2,,,,1363,
Mazzaro's Italian Market,4.9,,,,1424,
Conch Republic Grill,4.5,,,,844,
Mr. Dunderbak's Biergarten and Marketplatz,4.9,,,,1413,
Red Mesa Restaurant,4.5,,,,1203,
Datz,4.7,,,,3074,
Ella's Americana Folk Art Cafe,4.8,,,,1715,
Taco Bus,4.5,,,,1868,
The Refinery,4,,,,875,
Columbia Restaurant,4.4,,,,1746,
1918 Bistro & Grill,4.4,,,,339,
Pig and Whistle,4.1,,,,87,
Buffalo Wild Wings,3.4,,,,98,
El Toreo Mexican Restaurant,3.1,,,,83,
306 North Restaurant,3.9,,,,231,
Austins Cattle Co,3.7,,,,216,
Beijing Cafe,3.8,,,,185,
Bleu Cafe,3.7,,,,185,
Bleu Pub,3.8,,,,281,
Bubba Jax Crab Shack,3.7,,,,137,
Cheddar's Scratch Kitchen,3.7,,,,209,
El Cazador,3.7,,,,168,
Friends Grille and Bar,3.9,,,,243,
Giulios Greek & Italian Restaurant,3.8,,,,221,
La Jalisco Supermercato,3.5,,,,46,
Masato Japanese,3.9,,,,262,
Mom & Dad's Italian Restaurant,3.7,,,,183,
Mori's Japanese Steakhouse & Sushi Bar,3.5,,,,208,
Passage 2 India,3.8,,,,245,
Rodeo Mexican Restaurant,3.8,,,,199,
Steel Magnolias,3.8,,,,225,
Smok'n Pig B-B-Q,4.1,,,,575,
Blue House Cafe,4.3,,,,88,
Anchorage Cafe Restaurant Wine Bar,3.6,,,,96,
Lake House Restaurant,4.3,,,,204,
Masala Grill & Coffee House,3.2,,,,18,
Brown Bottle The Cedar Falls,3.7,,,,134,
Four Queens Dairy Cream,3.9,,,,190,
Hong Kong Chinese Restaurant,3.8,,,,136,
HuHot Mongolian Grill,3.7,,,,113,
J's Homestyle Cooking,3.6,,,,69,
Montage,3.6,,,,89,
Mulligan's Brick Oven Grill,3.6,,,,80,
Sakura,3.8,,,,175,
Scratch,3.7,,,,136,
SOHO Sushi Bar & Deli,3.6,,,,114,
Texas Roadhouse,3.6,,,,93,
Tony's La Pizzeria,3.6,,,,89,
Chapala,3.6,,,,69,
Galleria de Paco,3.6,,,,86,
Golden China,3.7,,,,73,
Rudy's Tacos,3.6,,,,104,
The Screaming Eagle,3.7,,,,101,
The Thai Bowl,3.5,,,,58,
Tokyo Japanese Steak House,3.9,,,,156,
Theo Yianni's Authentic Greek Restaurant,3.9,,,,156,
Fishpatrick's Crabby Cafe,3.2,,,,16,
Arigato Sushi,3.3,,,,26,
Denny's,4.6,,,,207,
Famous Dave's Barbecue,4.6,,,,376,
Pizza Di Rocco,4.4,,,,471,
Sofra Istanbul,4.3,,,,224,
Salt,4.2,,,,228,
Genghis Grill,4.6,,,,81,
Olive Garden,4.1,,,,422,
Cho Gao - Crowne Plaza Abu Dhabi,4.4,,,,246,
Gazebo,4,,,,355,
Sangeetha Vegetarian Restaurant,3.6,,,,268,
Hot Palayok,4.5,,,,162,
Applebee's,4,,,,205,
Tikka Tonight,4,,,,277,
Bait El Khetyar,4,,,,380,
Indian By Nature,4.3,,,,180,
Via Delhi,4,,,,525,
Punjab Grill,4.9,,,,216,
Tamba,4.7,,,,201,
P.F. Chang's,4.2,,,,435,
The Cheesecake Factory,4.6,,,,586,
The Farm,3.9,,,,927,
Maharaja Bhog,4.1,,,,1448,
Rasoi Ghar,4.3,,,,1281,
Barbeque Nation,4.5,,,,307,
Farzi Cafe,4.5,,,,909,
AB's Absolute Barbecues,4.9,,,,641,
Carnival By Tresind,4.9,,,,322,
AB's Absolute Barbecues,4.8,,,,2510,
Hard Rock Cafe,4.5,,,,1388,
The Coffee Club,4.5,,,,403,
SALT,4.3,,,,1351,
Din Tai Fung,4.3,,,,661,
SpiceKlub,4.4,,,,281,
Tresind - Nassima Royal Hotel,4.9,,,,1352,
Grand Barbeque Buffet Restaurant,4.4,,,,552,
Red Lobster,3.2,,,,506,
The Cheesecake Factory,4.7,,,,2424,
Parker's,4.3,,,,386,
Applebee's,3.7,,,,500,
Grub Shack,4.3,,,,544,
Kamat,3.9,,,,285,
Vadakkan Pepper,3.8,,,,210,
Gazebo,4.1,,,,372,
Katis Restaurant,4.3,,,,316,
Zaroob,3.9,,,,69,
Derby,4.1,,,,33,
Nayaab Haandi,4.1,,,,449,
Najmat Lahore Restaurant,4.2,,,,504,
Saffron,4.1,,,,192,
Pizza Hut,2.4,,,,154,
Al Mukhtar Bakery,4.2,,,,142,
Aroos Damascus,4.2,,,,444,
Nando's,4.2,,,,265,
Peking Chinese Restaurant,3.8,,,,227,
TGI Friday's,3.9,,,,357,
Rajasthan Al Malaki,4.8,,,,459,
Applebee's,4.1,,,,197,
Paper Fig,4.5,,,,143,
Sis Burger,3.8,,,,12,
Crafted Blends,4.2,,,,43,
Jahanpanah,3.9,,,,140,
Rangrezz Restaurant,3.5,,,,71,
Time2Eat - Mama Chicken,3.6,,,,94,
Chokho Jeeman Marwari Jain Bhojanalya,4,,,,87,
Pinch Of Spice,4.2,,,,177,
MoMo Cafe,4,,,,45,
Peshawri - ITC Mughal,4.3,,,,133,
Taj Bano - ITC Mughal,4,,,,41,
G Thal,3.6,,,,59,
Dawat-e-Nawab - Radisson Blu,3.8,,,,46,
The Latitude - Radisson Blu,3.9,,,,103,
Dasaprakash Restaurant,4.1,,,,121,
The Charcoal Chimney,3.4,,,,70,
Sheroes Hangout,4.9,,,,77,
Bon Barbecue,3.8,,,,57,
Chapter 1 Cafe,3.9,,,,98,
Pind Balluchi,3.7,,,,175,
Pizza Hut,4.4,,,,134,
Tea'se Me - Rooftop Tea Boutique,4.2,,,,166,
Thaaliwala,4.1,,,,168,
650 - The Global Kitchen,4.2,,,,1582,
Patang - The Revolving Restaurant,3.7,,,,1315,
Huber & Holly,4.5,,,,217,
@Mango,4.1,,,,769,
Fozzie's Pizzaiolo,4.3,,,,731,
La Pino'z Pizza,4.4,,,,113,
Mocha,4.4,,,,944,
Blue -  Rooftop Cafe Restaurant Bistro,3.8,,,,63,
MoMo Caf?? - Courtyard By Marriott,3.6,,,,375,
Cryo Lab,4.6,,,,166,
Swati Snacks,4.4,,,,697,
Brick Kitchen,4.3,,,,325,
Kabir Restaurant,3.8,,,,432,
Puffizza,4.3,,,,744,
Cafe Alfresco,4,,,,404,
The Cafe Baraco,4.4,,,,317,
Nini's Kitchen,4.5,,,,1138,
Yanki Sizzlers,4.1,,,,1041,
The Garden Cafe - The Fern,4.1,,,,192,
Mazzo,3.9,,,,166,
Turquoise Villa,4,,,,535,
Aryan Family's Delight,3.4,,,,57,
Bean Here,3.3,,,,76,
Bikanerwala,3.2,,,,51,
Dewsis,3.4,,,,99,
Friends Forever,3.4,,,,83,
Hotel Ravisha Continental,3.4,,,,18,
KFC,3.4,,,,58,
McDonald's,3.3,,,,53,
Pind Balluchi,3.2,,,,6,
