Restaurant Name,Has Online delivery,UNIQUE,Count,percentage,Aggregate rating,average
Mikata Japanese Steakhouse,No,,,,3.6,
Shogun Japanese Steak House,No,,,,3.5,
The Catch Seafood Room & Oyster Bar,No,,,,3.8,
Villa Gargano,No,,,,3.7,
3 Squares Diner,No,,,,3.4,
Whitebull Hotel,No,,,,3.5,
Last Resort Grill,No,,,,4.5,
Mama's Boy Restaurant,No,,,,4.5,
Sr. Sol 1,No,,,,4.6,
Choo Choo Eastside,No,,,,3.9,
The Grill,No,,,,3.7,
Big City Bread Cafe,No,,,,4.3,
Clocked,No,,,,4.2,
DePalma's Italian Cafe - Downtown,No,,,,4,
DePalma's Italian Cafe - East Side,No,,,,4.1,
Five & Ten,No,,,,4.3,
Grit,No,,,,4.2,
Ike & Jane,No,,,,4.1,
La Dolce Vita Ristorante,No,,,,4.1,
Shokitini,No,,,,4.2,
Taqueria Del Sol,No,,,,4.1,
The National,No,,,,4.1,
The Royal Peasant,No,,,,4.4,
Transmetropolitan,No,,,,4.4,
Trappeze Pub,No,,,,4.2,
Viva! Argentine Cuisine,No,,,,4.1,
Miyabi Kyoto Japanese Steak House,No,,,,4.6,
Rae's Coastal Cafe,No,,,,4.9,
The Bee's Knees,No,,,,4.5,
Boll Weevil Cafe,No,,,,3.9,
Farmhaus Burger,No,,,,3.9,
Manuel's Bread Cafe,No,,,,3.8,
Sconyers Bar B Que,No,,,,3.5,
Frog Hollow Tavern,No,,,,4.3,
Giuseppe's Pizza & Italian Specialities,No,,,,4.1,
Mellow Mushroom,No,,,,4.4,
Nacho Mamas Burritos,No,,,,4,
Rhinehart's Oyster Bar,No,,,,4,
Takosushi,No,,,,4.2,
The Chop House,No,,,,4,
The Taj of India,No,,,,4,
Augsburg Haus,No,,,,3.9,
Pho Bac,No,,,,4.1,
Rhinehart's Oyster Bar,No,,,,4,
Thai Kitchen,No,,,,4.3,
El Kiosco Mexican Restaurant,No,,,,4.2,
Taste of Balingup,No,,,,3.2,
Bridge Road Brewers,No,,,,4.6,
Bardenay,No,,,,4.5,
Flatbread Neapolitan Pizzeria,No,,,,4.6,
Goldy's Breakfast Bistro,No,,,,4.5,
Chandlers Steakhouse,No,,,,3.9,
Bar Gernika Basque Pub & Eatery,No,,,,4.3,
Barbacoa Restaurant,No,,,,4.1,
Big Jud's,No,,,,4.2,
Bittercreek Ale House,No,,,,4.3,
Boise Fry Company,No,,,,4.4,
Flying Pie Pizzaria,No,,,,4.1,
Fork,No,,,,4.4,
Guido's Original New York Style Pizza,No,,,,4.3,
Los Beto's,No,,,,4.4,
Lucianos Italian Restaurant,No,,,,4.4,
Mai Thai Restaurant,No,,,,4,
Shige Japanese Cuisine,No,,,,4.1,
The Egg Factory,No,,,,4.3,
Tucanos,No,,,,4,
Texas Roadhouse,No,,,,4,
Brick 29,No,,,,4.4,
Winifreds,No,,,,3.7,
Biaggi's Ristorante Italiano,No,,,,4.1,
El Super Burrito,No,,,,4.1,
Granite City Food & Brewery,No,,,,4.1,
Irish Democrat,No,,,,4.4,
Taste of India,No,,,,4.2,
Thai Moon Restaurant,No,,,,4.2,
Ting's Red Lantern,No,,,,4.2,
Monica's,No,,,,3.8,
Exotic India,No,,,,4.1,
Shorts Burger and Shine,No,,,,4.9,
The Hamburg Inn No. 2 Inc.,No,,,,4.5,
Bluebird Diner,No,,,,3.6,
Graze,No,,,,3.8,
A & A Pagliai's Pizza,No,,,,4.3,
Atlas World Grill,No,,,,4.3,
BlackStone,No,,,,4.1,
Devotay,No,,,,4,
Jimmy Jack's Rib Shack,No,,,,4.2,
Zoeys Pizzeria,No,,,,4.7,
Tokyo Sushi,No,,,,3.7,
Berry Patch Restaurant,No,,,,4.3,
Sakura Sushi & Grill,No,,,,3.1,
Uptown Vietnam cuisine,No,,,,3.3,
Cafe Le Rue @ The Landings,No,,,,4.6,
Mark's City Grille,No,,,,4.5,
B Merrell's,No,,,,3.8,
Cannon Brewpub,No,,,,3.9,
Fuji Japanese Steak House,No,,,,3.9,
Ruth Ann's Family Restaurant,No,,,,3.7,
Samurai Japanese Cuisine & Sushi Bar,No,,,,3.6,
Wasabi Sushi and Thai,No,,,,3.7,
Buckhead Bar and Grill,No,,,,4.2,
Burt's Butcher Shoppe and Eatery,No,,,,4.3,
Chef Lee's Peking Restaurant,No,,,,4,
Country's Barbecue,No,,,,4,
Deorio's,No,,,,4,
Mellow Mushroom,No,,,,4.1,
Meritage,No,,,,4.1,
Mongo The Mongolian Fire Pit,No,,,,4.2,
The Black Cow,No,,,,4.3,
Wood Stone,No,,,,4,
Hunter's Pub,No,,,,4.4,
Consort Restaurant,No,,,,3,
Thatcher's Barbeque and Grill,No,,,,3.7,
Christian and Jake's Bistro,No,,,,4.4,
Dub's High on the Hog,No,,,,4.4,
Sierra's Mexican Restaurant,No,,,,3.9,
Oakwood Cafe,No,,,,4.9,
Chili's Grill & Bar,No,,,,3.8,
Fuji Japanese Steakhouse,No,,,,3.8,
Las Palmas,No,,,,3.8,
Tony's Italian Restaurant & Pizza,No,,,,3.7,
Filling Station,No,,,,4.1,
Five Guys Burgers and Fries,No,,,,4.1,
Los Pablos,No,,,,4.1,
Kobe Hibachi & Sushi,No,,,,4.6,
Soho Hibachi,No,,,,4.3,
Thai Garden,No,,,,4.2,
Southern Bliss Bakery,No,,,,3.7,
Bailey's Bar-B-Que,No,,,,4.1,
Farm To Fork,No,,,,4.3,
Home Plate Grill,No,,,,4.2,
Pie Slingers Pizzeria,No,,,,4.1,
Olive Tree Cafe,No,,,,4.6,
"Red Ginger Sushi, Grill & Bar",No,,,,4.5,
Crust Stone Oven Pizza,No,,,,3.9,
Jimmy's Pancake House,No,,,,4,
Trattoria Tiramisu,No,,,,4.1,
Prairie Grille at SteepleGate Inn,No,,,,3.4,
Tantra Asian Bistro,No,,,,4.9,
Chick-fil-A,No,,,,3.9,
Duck City Bistro,No,,,,3.7,
Frick's Tap,No,,,,0,
Los Agaves,No,,,,0,
Azteca,No,,,,4.3,
China Cafe,No,,,,4,
Exotic Thai Restaurant,No,,,,4.1,
Front Street Brewery,No,,,,4.3,
Granite City Food & Brewery,No,,,,4,
Los Agaves,No,,,,4.1,
Machine Shed Restaurant,No,,,,4.1,
Osaka,No,,,,4.2,
Texas Roadhouse,No,,,,4.2,
Hickory Park,No,,,,4.5,
The Cafe,No,,,,4.9,
Flying Mango,No,,,,4.5,
Cool Basil,No,,,,4.1,
HuHot Mongolian Grill,No,,,,4,
Malo,No,,,,3.2,
Centro,No,,,,4.5,
Fong's Pizza,No,,,,4.6,
A Dong Restaurant,No,,,,4.4,
Court Avenue Brewing Company,No,,,,4.2,
Django,No,,,,4.3,
Miyabi 9,No,,,,4.8,
Zombie Burger + Drink Lab,No,,,,4.2,
Tursi's Latin King,No,,,,4.1,
Tsing Tsao South,No,,,,4.1,
Bandit Burrito,No,,,,4,
Jethro's BBQ,No,,,,4.3,
The Machine Shed Restaurant,No,,,,3.8,
Mi Patria,No,,,,4,
Waterfront Seafood Market,No,,,,4.2,
The Giggling Goat,No,,,,3.6,
Burnt Toast Cafe,No,,,,3.4,
Catfish Charlie's,No,,,,3.3,
Salsa's Mexican Restaurant,No,,,,3.4,
Tony Roma's,No,,,,3.3,
Vinny Vanucchi's,No,,,,3.4,
Champps Americana,No,,,,3.5,
Fiesta Cancun,No,,,,3.6,
Happy Joe's Pizza & Ice Cream,No,,,,3.5,
Houlihan's,No,,,,3.6,
Ichiban Hibachi Steakhouse & Sushi Bar,No,,,,3.7,
Kalmes Breaktime Bar & Grill,No,,,,3.6,
L. May Eatery,No,,,,3.8,
Los Aztecas,No,,,,3.5,
Manna Java World Cafe,No,,,,3.5,
Mario's Italian Restaurant,No,,,,3.6,
Pepper Sprout Incorporated,No,,,,3.6,
Shot Tower Inn,No,,,,3.6,
Sunshine Family Restaurant,No,,,,3.5,
Watershed Cafe,No,,,,3.7,
Woodfire Grille,No,,,,3.6,
The Belle General,No,,,,4.1,
Jehova es Mi Pastor Tacos y Burritos,No,,,,3.7,
Flaxton Gardens,No,,,,3.5,
Bespoke Harvest,No,,,,3.7,
Houndstooth Grill & Tavern,No,,,,4.4,
Hawg Wild BBQ & Catfish House,No,,,,4.1,
Bourbon Street Grille,No,,,,3.8,
Corkscrew Cafe,No,,,,3.9,
Smokin Gold BBQ,No,,,,3.9,
Hoka-Hoka Japanese Steak & Sushi,No,,,,4.4,
Shenanigan's Irish Pub,No,,,,4.1,
Fish Tales Lakeside Grille,No,,,,3.8,
Antebellum,No,,,,4.3,
Moonie's Texas Barbecue,No,,,,4.1,
Atlanta Highway Seafood Market,No,,,,4.9,
Eat at Thai,No,,,,4.6,
Smoke House BBQ and Catering,No,,,,3.8,
2 Dog,No,,,,4.2,
Longstreet Cafe,No,,,,4.3,
Re-Cess,No,,,,4.2,
Bodensee,No,,,,3.8,
Hofer's Bakery & Cafe,No,,,,3.9,
Troll Tavern,No,,,,2.2,
The Nacoochee Village Tavern & Pizzeria,No,,,,4,
Blue Bean Love Cafe,No,,,,3.8,
La Trattoria of Lavandula,No,,,,3.8,
5 Little Pigs,No,,,,4.1,
Beach Box Cafe,No,,,,3.7,
Funkey Monkey,No,,,,3.8,
Burger Queen Drive In,No,,,,3.6,
Blue Orchid Thai Restaurant,No,,,,4.5,
Stillwater on Belmore,No,,,,3.6,
Mr.,No,,,,3.5,
Emilio's Cuban Cafe,No,,,,3.9,
Ingleside Village Pizza,No,,,,4.9,
Jim Shaw's Seafood Grill & Bar,No,,,,4.6,
Mandarin Chinese Restaurant,No,,,,4.5,
Rookery,No,,,,4.5,
Dovetail,No,,,,3.8,
Bonefish Grill,No,,,,4.1,
Downtown Grill,No,,,,4,
Greek Corner Deli,No,,,,4.3,
Natalia's,No,,,,4.2,
Papouli's Mediterranean Cafe & Market,No,,,,4.2,
Benson's Steak and Sushi,No,,,,3.7,
My Fathers Place,No,,,,3.7,
Sushi Thai Restaurant,No,,,,3.7,
The Mellow Mushroom,No,,,,3.8,
El Jalisciense Mexican Restaurant,No,,,,4.1,
Greek Village,No,,,,4,
Martin's BBQ,No,,,,4.2,
Thai Pepper,No,,,,4,
Zen Japanese Steakhouse and Sushi Bar,No,,,,4.1,
Star Buffet,No,,,,2.9,
Triangle Restaurant,No,,,,2.4,
Three Anchors,No,,,,3.8,
HI Lite Bar & Lounge,No,,,,3.4,
Vince's Restaurant & Pizzeria,No,,,,3.6,
Poets Cafe,No,,,,2.4,
The Artesian Restaurant,No,,,,3.6,
Cev?_che Tapas Bar & Restaurant,No,,,,4.4,
'Ohana,No,,,,4.5,
Earl of Sandwich,No,,,,4.7,
Raglan Road Irish Pub and Restaurant,No,,,,4.3,
Caf?? Tu Tu Tango,No,,,,4.6,
Texas de Brazil,No,,,,4.6,
Bahama Breeze Island Grille,No,,,,4.3,
Maggiano's Little Italy,No,,,,4.4,
Hawkers Asian Street Fare,No,,,,4.6,
Tako Cheena by Pom Pom,No,,,,4.4,
Seasons 52 Fresh Grill,No,,,,4.4,
Hollerbach's Willow Tree Caf??,No,,,,4.8,
Pom Pom's Teahouse and Sandwicheria,No,,,,4.9,
Yellow Dog Eats,No,,,,4.9,
Tibby's New Orleans Kitchen,No,,,,4.7,
The Coop,No,,,,3.6,
Bosphorous Turkish Cuisine,No,,,,4.2,
Ethos Vegan Kitchen,No,,,,4.4,
Hillstone,No,,,,4.4,
The Ravenous Pig,No,,,,4.4,
Vivo Bar and Grill,No,,,,4.4,
Pier 70,No,,,,2.6,
DiVine,No,,,,3.4,
Cactus Flower Cafe Navarre,No,,,,4.2,
McGuire's Irish Pub & Brewery,No,,,,4.9,
New Yorker Deli & Pizzeria,No,,,,4.6,
Tu-Do Vietnamese Restaurant,No,,,,4.5,
Carrabba's Italian Grill,No,,,,3.7,
Jaco's Bayfront Bar and Grille,No,,,,3.9,
The Tin Cow,No,,,,3.7,
Cactus Flower Cafe,No,,,,4.2,
Dharma Blue,No,,,,4.1,
Global Grill,No,,,,4.4,
Ichiban,No,,,,4.3,
The Fish House,No,,,,4,
Tuscan Oven,No,,,,4.1,
Flounders Chowder House,No,,,,3.9,
Hemingway's Island Grill,No,,,,3.5,
Native Cafe,No,,,,4.2,
Peg Leg Pete's,No,,,,4.4,
The Grand Marlin,No,,,,4.3,
Original Georgios Authentic Greek Food,No,,,,4.7,
Fisherman's Corner,No,,,,4.4,
Mad Cowes Cafe,No,,,,3.7,
Rupes Burgers,No,,,,3.7,
Texas Roadhouse,No,,,,3.5,
Riverwalk Cafe,No,,,,3.6,
Royal Hotel,No,,,,3.6,
Buddy's Italian Restaurant,No,,,,3.7,
Butterburrs,No,,,,3.6,
Chang Garden,No,,,,3.5,
Fifth Street Bagelry,No,,,,3.8,
Goody's Deli,No,,,,3.8,
Grecian Key Restaurant,No,,,,3.7,
Outer Limits Fun Zone,No,,,,3.5,
Portneuf Valley Brewing,No,,,,3.7,
Sandpiper Restaurant & Lounge,No,,,,3.6,
Senor Iguanas,No,,,,3.6,
Sushi Family,No,,,,3.6,
Taste of India Nepal,No,,,,3.8,
Thai Paradise,No,,,,3.7,
The Bridge,No,,,,3.6,
Nosh Mahal,No,,,,0,
El Herradero,No,,,,4.1,
Barrett Junction Cafe,No,,,,3.3,
Blue Point Grill,No,,,,4,
Giovanni's Shrimp Truck,No,,,,4.5,
Kona Brewing Company,No,,,,4.7,
Leonard's Bakery,No,,,,4.7,
Coconuts Fish Cafe,No,,,,4.5,
Kihei Caffe,No,,,,4.5,
Monkeypod Kitchen by Merriman,No,,,,4.2,
Sansei Seafood Restaurant & Sushi Bar,No,,,,4.2,
Star Noodle,No,,,,4.6,
Aloha Mixed Plate,No,,,,4.2,
Gazebo,No,,,,4.4,
Hula Grill,No,,,,4.3,
Kimo's,No,,,,4.3,
Mama's Fish House,No,,,,4.9,
Marukame Udon,No,,,,4.9,
Yard House,No,,,,4.6,
Lulu's Waikiki,No,,,,3.9,
Duke's Waikiki,No,,,,4.4,
Eggs 'n Things,No,,,,4,
Roy's,No,,,,4.2,
Wailana Coffee House,No,,,,4.2,
The Lady & Sons,No,,,,3.3,
Green Truck Pub,No,,,,4.7,
Leopold's Ice Cream,No,,,,4.6,
Mrs. Wilkes' Dining Room,No,,,,4.5,
Zunzi's,No,,,,4.5,
Moon River Brewing Company,No,,,,3.7,
Pirates' House Restaurant,No,,,,3.8,
B. Matthew's Eatery,No,,,,4.1,
Crystal Beer Parlor,No,,,,4.4,
Goose Feathers Cafe and Bakery,No,,,,4.2,
Henry's,No,,,,4.1,
Huey's On The River,No,,,,4.1,
J. Christopher's,No,,,,4.3,
Lulu's Chocolate Bar,No,,,,4.3,
Rocks on the River,No,,,,4,
SOHO South Cafe,No,,,,4.3,
The Olde Pink House,No,,,,4.4,
Vic's On The River,No,,,,4.1,
The Crab Shack,No,,,,3.8,
Tybee Island Social Club,No,,,,3.9,
Sky On 57,No,,,,3.4,
Cut By Wolfgang Puck,No,,,,4,
Restaurant Andre,No,,,,3.8,
Potato Head Folk,No,,,,3.1,
Jaan,No,,,,3.8,
Rhubarb Le Restaurant,No,,,,3.9,
Al'frank Cookies,No,,,,4.2,
Fratini La Trattoria,No,,,,4.1,
Boufe Boutique Cafe,No,,,,3.2,
The Refinery Singapore,No,,,,3.2,
Chye Seng Huat Hardware,No,,,,3.7,
Makansutra Gluttons Bay,No,,,,3,
Colony,No,,,,3.8,
Summer Pavilion,No,,,,3.9,
The Lokal,No,,,,3.1,
I Am,No,,,,3.2,
Super Loco,No,,,,3.2,
Artistry,No,,,,3.8,
Bitters & Love,No,,,,3.9,
Artichoke Cafe,No,,,,3.2,
Archie's Waeside,No,,,,3.7,
Bob Roe's Pizza,No,,,,3.6,
Da Kao Restaurant,No,,,,3.8,
Famous Dave's,No,,,,3.6,
Fuji Bay Japanese Restaurant,No,,,,3.7,
HuHot Mongolian Grill,No,,,,3.6,
Hunan Palace,No,,,,3.8,
Jerry's Pizza,No,,,,3.8,
Jim's Burgers,No,,,,3.7,
Johnnie Mars,No,,,,3.9,
Miles Inn,No,,,,3.7,
Milwaukee Wiener House,No,,,,3.8,
Minerva's Food & Cocktails,No,,,,3.7,
Monterrey Mexican Restaurant,No,,,,3.7,
Rebos,No,,,,3.8,
Tokyo Japanese Steakhouse & Sushi Bar,No,,,,3.9,
Diamond Thai Cuisine,No,,,,4,
El Fredo Pizza,No,,,,4,
Trattoria Fresco,No,,,,4,
Kahill's Steak-Fish Chophouse,No,,,,3.5,
Rumba Island Bar & Grill,No,,,,4.6,
Red Mesa Cantina,No,,,,4.6,
BellaBrava,No,,,,4.1,
Ceviche Tapas Bar & Restaurant,No,,,,4.1,
The Moon Under Water,No,,,,4.1,
Bern's Steak House,No,,,,4.7,
Boca Kitchen Bar Market,No,,,,3.9,
Edison: Food+Drink Lab,No,,,,3.9,
Ceviche Tapas Bar & Restaurant,No,,,,4.4,
Daily Eats,No,,,,4.4,
Salt Rock Grill,No,,,,4.2,
Mazzaro's Italian Market,No,,,,4.9,
Conch Republic Grill,No,,,,4.5,
Mr. Dunderbak's Biergarten and Marketplatz,No,,,,4.9,
Red Mesa Restaurant,No,,,,4.5,
Datz,No,,,,4.7,
Ella's Americana Folk Art Cafe,No,,,,4.8,
Taco Bus,No,,,,4.5,
The Refinery,No,,,,4,
Columbia Restaurant,No,,,,4.4,
1918 Bistro & Grill,No,,,,4.4,
Pig and Whistle,No,,,,4.1,
Buffalo Wild Wings,No,,,,3.4,
El Toreo Mexican Restaurant,No,,,,3.1,
306 North Restaurant,No,,,,3.9,
Austins Cattle Co,No,,,,3.7,
Beijing Cafe,No,,,,3.8,
Bleu Cafe,No,,,,3.7,
Bleu Pub,No,,,,3.8,
Bubba Jax Crab Shack,No,,,,3.7,
Cheddar's Scratch Kitchen,No,,,,3.7,
El Cazador,No,,,,3.7,
Friends Grille and Bar,No,,,,3.9,
Giulios Greek & Italian Restaurant,No,,,,3.8,
La Jalisco Supermercato,No,,,,3.5,
Masato Japanese,No,,,,3.9,
Mom & Dad's Italian Restaurant,No,,,,3.7,
Mori's Japanese Steakhouse & Sushi Bar,No,,,,3.5,
Passage 2 India,No,,,,3.8,
Rodeo Mexican Restaurant,No,,,,3.8,
Steel Magnolias,No,,,,3.8,
Smok'n Pig B-B-Q,No,,,,4.1,
Blue House Cafe,No,,,,4.3,
Anchorage Cafe Restaurant Wine Bar,No,,,,3.6,
Lake House Restaurant,No,,,,4.3,
Masala Grill & Coffee House,No,,,,3.2,
Brown Bottle The Cedar Falls,No,,,,3.7,
Four Queens Dairy Cream,No,,,,3.9,
Hong Kong Chinese Restaurant,No,,,,3.8,
HuHot Mongolian Grill,No,,,,3.7,
J's Homestyle Cooking,No,,,,3.6,
Montage,No,,,,3.6,
Mulligan's Brick Oven Grill,No,,,,3.6,
Sakura,No,,,,3.8,
Scratch,No,,,,3.7,
SOHO Sushi Bar & Deli,No,,,,3.6,
Texas Roadhouse,No,,,,3.6,
Tony's La Pizzeria,No,,,,3.6,
Chapala,No,,,,3.6,
Galleria de Paco,No,,,,3.6,
Golden China,No,,,,3.7,
Rudy's Tacos,No,,,,3.6,
The Screaming Eagle,No,,,,3.7,
The Thai Bowl,No,,,,3.5,
Tokyo Japanese Steak House,No,,,,3.9,
Theo Yianni's Authentic Greek Restaurant,No,,,,3.9,
Fishpatrick's Crabby Cafe,No,,,,3.2,
Arigato Sushi,No,,,,3.3,
Denny's,No,,,,4.6,
Famous Dave's Barbecue,Yes,,,,4.6,
Pizza Di Rocco,Yes,,,,4.4,
Sofra Istanbul,No,,,,4.3,
Salt,No,,,,4.2,
Genghis Grill,No,,,,4.6,
Olive Garden,No,,,,4.1,
Cho Gao - Crowne Plaza Abu Dhabi,Yes,,,,4.4,
Gazebo,Yes,,,,4,
Sangeetha Vegetarian Restaurant,Yes,,,,3.6,
Hot Palayok,Yes,,,,4.5,
Applebee's,Yes,,,,4,
Tikka Tonight,Yes,,,,4,
Bait El Khetyar,Yes,,,,4,
Indian By Nature,Yes,,,,4.3,
Via Delhi,Yes,,,,4,
Punjab Grill,No,,,,4.9,
Tamba,No,,,,4.7,
P.F. Chang's,No,,,,4.2,
The Cheesecake Factory,No,,,,4.6,
The Farm,No,,,,3.9,
Maharaja Bhog,Yes,,,,4.1,
Rasoi Ghar,Yes,,,,4.3,
Barbeque Nation,No,,,,4.5,
Farzi Cafe,No,,,,4.5,
AB's Absolute Barbecues,No,,,,4.9,
Carnival By Tresind,No,,,,4.9,
AB's Absolute Barbecues,No,,,,4.8,
Hard Rock Cafe,No,,,,4.5,
The Coffee Club,Yes,,,,4.5,
SALT,No,,,,4.3,
Din Tai Fung,No,,,,4.3,
SpiceKlub,No,,,,4.4,
Tresind - Nassima Royal Hotel,No,,,,4.9,
Grand Barbeque Buffet Restaurant,Yes,,,,4.4,
Red Lobster,No,,,,3.2,
The Cheesecake Factory,No,,,,4.7,
Parker's,No,,,,4.3,
Applebee's,Yes,,,,3.7,
Grub Shack,Yes,,,,4.3,
Kamat,Yes,,,,3.9,
Vadakkan Pepper,Yes,,,,3.8,
Gazebo,Yes,,,,4.1,
Katis Restaurant,No,,,,4.3,
Zaroob,Yes,,,,3.9,
Derby,No,,,,4.1,
Nayaab Haandi,Yes,,,,4.1,
Najmat Lahore Restaurant,Yes,,,,4.2,
Saffron,Yes,,,,4.1,
Pizza Hut,No,,,,2.4,
Al Mukhtar Bakery,No,,,,4.2,
Aroos Damascus,No,,,,4.2,
Nando's,Yes,,,,4.2,
Peking Chinese Restaurant,Yes,,,,3.8,
TGI Friday's,Yes,,,,3.9,
Rajasthan Al Malaki,No,,,,4.8,
Applebee's,Yes,,,,4.1,
Paper Fig,No,,,,4.5,
Sis Burger,No,,,,3.8,
Crafted Blends,No,,,,4.2,
Jahanpanah,No,,,,3.9,
Rangrezz Restaurant,No,,,,3.5,
Time2Eat - Mama Chicken,No,,,,3.6,
Chokho Jeeman Marwari Jain Bhojanalya,No,,,,4,
Pinch Of Spice,No,,,,4.2,
MoMo Cafe,No,,,,4,
Peshawri - ITC Mughal,No,,,,4.3,
Taj Bano - ITC Mughal,No,,,,4,
G Thal,No,,,,3.6,
Dawat-e-Nawab - Radisson Blu,No,,,,3.8,
The Latitude - Radisson Blu,No,,,,3.9,
Dasaprakash Restaurant,No,,,,4.1,
The Charcoal Chimney,No,,,,3.4,
Sheroes Hangout,No,,,,4.9,
Bon Barbecue,No,,,,3.8,
Chapter 1 Cafe,No,,,,3.9,
Pind Balluchi,No,,,,3.7,
Pizza Hut,No,,,,4.4,
Tea'se Me - Rooftop Tea Boutique,No,,,,4.2,
Thaaliwala,No,,,,4.1,
650 - The Global Kitchen,No,,,,4.2,
Patang - The Revolving Restaurant,No,,,,3.7,
Huber & Holly,Yes,,,,4.5,
@Mango,No,,,,4.1,
Fozzie's Pizzaiolo,Yes,,,,4.3,
La Pino'z Pizza,Yes,,,,4.4,
Mocha,Yes,,,,4.4,
Blue -  Rooftop Cafe Restaurant Bistro,Yes,,,,3.8,
MoMo Caf?? - Courtyard By Marriott,No,,,,3.6,
Cryo Lab,No,,,,4.6,
Swati Snacks,No,,,,4.4,
Brick Kitchen,No,,,,4.3,
Kabir Restaurant,Yes,,,,3.8,
Puffizza,Yes,,,,4.3,
Cafe Alfresco,Yes,,,,4,
The Cafe Baraco,Yes,,,,4.4,
Nini's Kitchen,Yes,,,,4.5,
Yanki Sizzlers,No,,,,4.1,
The Garden Cafe - The Fern,No,,,,4.1,
Mazzo,Yes,,,,3.9,
Turquoise Villa,No,,,,4,
Aryan Family's Delight,No,,,,3.4,
Bean Here,No,,,,3.3,
Bikanerwala,No,,,,3.2,
Dewsis,No,,,,3.4,
Friends Forever,No,,,,3.4,
Hotel Ravisha Continental,No,,,,3.4,
KFC,No,,,,3.4,
