unique ,u1,u2,u3,u4,,v1,v2,v3,v4,sum,,number of restaurant ,percentage 
,Fast Food,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Street Food, North Indian, South Indian, Chinese,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,Cafe, Fast Food, Desserts,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian, Fast Food, Chinese, Continental,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,North Indian, Fast Food, Italian, Asian,,,,,,,,,
,Fast Food, Beverages,,,,,,,,,,,
,Chinese, North Indian, Italian, Continental, Fast Food,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Cafe, Chinese, Continental, Italian, Desserts, Beverages,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Italian, Fast Food,,,,,,,,,,,
,Fast Food, North Indian,,,,,,,,,,,
,South Indian, North Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Beverages,,,,,,,,,,,,
,Desserts, Beverages,,,,,,,,,,,
,Fast Food, Beverages,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Biryani, North Indian, Mughlai,,,,,,,,,,
,Ice Cream, Fast Food, Beverages,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,Beverages,,,,,,,,,,,,
,Mithai, Chinese, Street Food,,,,,,,,,,
,Bakery, Chinese,,,,,,,,,,,
,Fast Food, Street Food,,,,,,,,,,,
,Street Food, North Indian,,,,,,,,,,,
,Continental, Chinese, North Indian,,,,,,,,,,
,Chinese, Thai,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Beverages, Fast Food,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,American, Fast Food, Salad, Healthy Food,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian, Biryani, Chinese, Fast Food,,,,,,,,,
,Chinese, North Indian, Italian, Fast Food,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, Italian, Chinese, Fast Food,,,,,,,,,
,Beverages, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Mughlai, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Raw Meats, North Indian, Fast Food,,,,,,,,,,
,North Indian, South Indian, Chinese,,,,,,,,,,
,Chinese, Fast Food, Ice Cream,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, Chinese, Italian,,,,,,,,,,
,North Indian, Mughlai, Chinese, Continental,,,,,,,,,
,North Indian, Mediterranean, Continental,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Cafe, Italian, Chinese, North Indian,,,,,,,,,
,North Indian,,,,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,Street Food, Mithai,,,,,,,,,,,
,North Indian, Mughlai, Continental, Chinese,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Street Food, North Indian,,,,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Desserts, Fast Food, Ice Cream,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,South Indian, North Indian, Chinese, Street Food, Fast Food,,,,,,,,
,South Indian, North Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese, Continental, Italian,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Chinese, North Indian, Mughlai,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Desserts, Mithai,,,,,,,,,,,
,North Indian, Mughlai, Chinese, Fast Food,,,,,,,,,
,South Indian,,,,,,,,,,,,
,North Indian, South Indian, Chinese, Fast Food,,,,,,,,,
,Hyderabadi,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food, North Indian, South Indian, Chinese, Street Food, Mithai,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Fast Food, North Indian, Chinese,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,South Indian, Chinese, North Indian,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese, South Indian,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,Italian, Chinese, North Indian,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Chinese, Mughlai, North Indian,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,European, Italian, Thai, Chinese, North Indian,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Tibetan, Fast Food,,,,,,,,,,,
,Fast Food, Chinese,,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, European, South Indian,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Cafe, Fast Food, Desserts,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Desserts,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,South Indian, North Indian,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,American, Fast Food, Salad, Healthy Food,,,,,,,,,
,Gujarati, Rajasthani, North Indian, Fast Food,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Continental, Healthy Food,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,Fast Food, North Indian, Mughlai,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Continental, North Indian, American, Italian, Mexican,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,American, Fast Food,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian, Chinese, Mexican, Lebanese, Italian, Fast Food,,,,,,,
,Street Food,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Italian, Continental, European, Cafe,,,,,,,,,
,Italian, Continental, European, Cafe,,,,,,,,,
,Cafe, Pizza, Italian,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,American, Italian, North Indian, Chinese, Lebanese,,,,,,,,
,Continental, Kashmiri, Italian, North Indian, Moroccan,,,,,,,,
,Cafe, Italian, Lebanese,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Cafe, Desserts, Bakery,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
,Mediterranean, American, Asian,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,Mexican,,,,,,,,,,,,
,Italian, European,,,,,,,,,,,
,American, Continental, Italian,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Seafood, Chinese, Japanese, Vietnamese, Asian, Thai,,,,,,,
,European,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Burmese, Chinese, Japanese, Malaysian, Thai,,,,,,,,
,American, Fast Food, Salad, Healthy Food,,,,,,,,,
,Cafe, Tea, Desserts,,,,,,,,,,
,Italian, French, European, Cafe,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Japanese, Thai, Italian, Asian,,,,,,,,,
,Chinese, Thai, Continental, North Indian,,,,,,,,,
,Cafe,,,,,,,,,,,,
,European, Continental, Pizza,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
,Asian, Thai, Chinese,,,,,,,,,,
,North Indian, Lebanese, Mexican, Asian, Italian, American, European,,,,,,
,Continental, American,,,,,,,,,,,
,Cafe, European,,,,,,,,,,,
,Italian, European, Cafe,,,,,,,,,,
,American, European,,,,,,,,,,,
,Parsi, Iranian,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Finger Food, Italian, North Indian,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mithai, North Indian, South Indian, Chinese, Bakery,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Street Food, South Indian, Mithai,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,North Indian, Chinese, Italian, Fast Food,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Cafe, Continental,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Biryani, Mughlai,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Raw Meats, North Indian, Fast Food,,,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Fast Food, Bakery,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Chinese, Italian, Fast Food,,,,,,,,,,
,Lucknowi, Biryani,,,,,,,,,,,
,Desserts, Bakery, Fast Food,,,,,,,,,,
,Raw Meats, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Italian, Pizza, Fast Food,,,,,,,,,,
,Fast Food, Chinese, Bakery,,,,,,,,,,
,Mughlai, North Indian, Chinese,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,Chinese, Mughlai,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese, South Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Italian, Continental,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,Hyderabadi, North Indian,,,,,,,,,,,
,North Indian, Chinese, Mughlai, Continental,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, Chinese, Continental, Italian,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery, Fast Food, Street Food,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian, Fast Food, South Indian,,,,,,,,,,
,Desserts, Street Food,,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,North Indian, Chinese, South Indian,,,,,,,,,,
,Fast Food, North Indian, South Indian, Chinese, Bakery,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,Mithai, North Indian,,,,,,,,,,,
,Healthy Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Desserts,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, South Indian,,,,,,,,,,,
,North Indian, South Indian, Fast Food,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,South Indian, Fast Food, Street Food,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Chinese, Mughlai, North Indian,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,North Indian, South Indian, Chinese, Fast Food,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese, South Indian, Fast Food,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Pizza,,,,,,,,,,,,
,Beverages, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese, South Indian, Fast Food,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Healthy Food,,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Raw Meats, Fast Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Pizza,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Raw Meats, Street Food,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Chinese, Italian,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Continental, Italian, North Indian,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Cafe, French,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,South Indian, Fast Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Cafe, Chinese,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Mithai, North Indian, Chinese, Street Food,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,Desserts, Ice Cream,,,,,,,,,,,
,South Indian, North Indian,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,North Indian, Street Food,,,,,,,,,,,
,Chinese, Asian, Thai,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,North Indian, Chinese, South Indian,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Raw Meats, Fast Food,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese, Street Food, Mithai,,,,,,,,,
,Biryani,,,,,,,,,,,,
,Biryani, Hyderabadi,,,,,,,,,,,
,Burger, Fast Food,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Afghani,,,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,Italian, Pizza, Fast Food,,,,,,,,,,
,North Indian, Street Food,,,,,,,,,,,
,North Indian, South Indian, Chinese,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Mithai, North Indian, South Indian, Chinese, Street Food,,,,,,,,
,Burger, Fast Food, Chinese, Bakery,,,,,,,,,
,Bakery,,,,,,,,,,,,
,North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai,,,,,
,North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts,,,,,,
,Desserts,,,,,,,,,,,,
,Asian, Thai,,,,,,,,,,,
,North Indian, South Indian, Chinese,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Mughlai, Nepalese, Tibetan, Korean,,,,,,,,
,Tibetan, Chinese,,,,,,,,,,,
,North Indian, Street Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Fast Food, South Indian, Chinese,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,Fast Food, Street Food,,,,,,,,,,,
,North Indian, Mughlai, Chinese, Italian,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Chinese, South Indian,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,Fast Food, South Indian,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Fast Food, Mithai, Bakery,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Chinese, Continental, Mexican,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Fast Food, Beverages,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Bakery, Fast Food, Beverages,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Mughlai, Biryani,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, Mithai,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, South Indian,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,South Indian, Fast Food,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food, Tea,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Biryani,,,,,,,,,,,,
,Burger, Fast Food,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Italian, Pizza,,,,,,,,,,,
,Sushi, Asian,,,,,,,,,,,
,Cafe, Pizza,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,South Indian, Chinese, Fast Food,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Mughlai, Fast Food, North Indian,,,,,,,,,,
,North Indian, South Indian, Street Food, Chinese, Fast Food, Mithai,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese, North Indian, Fast Food, Italian,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,Continental,,,,,,,,,,,,
,Continental, European, North Indian, French,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Chinese, Thai,,,,,,,,,,,
,North Indian, Street Food, South Indian, Mithai,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Ice Cream, Street Food,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,Chinese, North Indian, Mithai, Street Food,,,,,,,,,
,Asian,,,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,North Indian, Mithai, Street Food,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Raw Meats, North Indian, Fast Food,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,North Indian, Mughlai, Chinese, Fast Food,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Raw Meats, Fast Food,,,,,,,,,,,
,Italian, Pizza, Bakery,,,,,,,,,,
,American, Fast Food, Salad, Healthy Food,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Japanese, French,,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,Cafe, Desserts, Bakery,,,,,,,,,,
,South Indian, Fast Food,,,,,,,,,,,
,American, Italian, Bakery, Deli, Burger, Sandwich, Pizza,,,,,,
,American, Continental, Italian, Bakery,,,,,,,,,
,Desserts, Middle Eastern, Turkish,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Desserts, Bakery,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Japanese, Sushi,,,,,,,,,,,
,Asian,,,,,,,,,,,,
,American, Fast Food,,,,,,,,,,,
,North Indian, South Indian, Chinese,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Chinese, Thai,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Asian, Chinese,,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Bengali, North Indian,,,,,,,,,,,
,European, Lebanese, Mediterranean,,,,,,,,,,
,North Indian, Mithai, South Indian, Street Food, Fast Food,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, South Indian, Chinese,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Mithai, North Indian, South Indian, Chinese, Street Food,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Fast Food, Pizza,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian, South Indian, Continental, Fast Food,,,,,,,,,
,Fast Food, North Indian, Bakery,,,,,,,,,,
,North Indian, Mughlai, Chinese, Continental, Fast Food,,,,,,,,
,North Indian, Fast Food, Biryani,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Biryani, Chinese, North Indian,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese, Mughlai, South Indian,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese, Continental, Fast Food,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Burger, Fast Food,,,,,,,,,,,
,Fast Food, Chinese,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Cafe, North Indian, Continental,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian, Mithai,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Kerala,,,,,,,,,,,,
,North Indian, Chinese, South Indian,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
