Restaurant Name,is chain,Aggregate rating,Votes
Frog Hollow Tavern,No,4.3,368
Giuseppe's Pizza & Italian Specialities,No,4.1,430
Mellow Mushroom,Yes,4.4,433
Nacho Mamas Burritos,No,4,380
Rhinehart's Oyster Bar,Yes,4,456
Takosushi,No,4.2,647
The Chop House,No,4,360
The Taj of India,No,4,227
Augsburg Haus,No,3.9,290
Pho Bac,No,4.1,270
Rhinehart's Oyster Bar,Yes,4,326
Thai Kitchen,No,4.3,317
El Kiosco Mexican Restaurant,No,4.2,300
Taste of Balingup,No,3.2,21
Bridge Road Brewers,No,4.6,237
Bardenay,No,4.5,879
Flatbread Neapolitan Pizzeria,No,4.6,615
Goldy's Breakfast Bistro,No,4.5,879
Chandlers Steakhouse,No,3.9,379
Bar Gernika Basque Pub & Eatery,No,4.3,303
Barbacoa Restaurant,No,4.1,538
Big Jud's,No,4.2,334
Bittercreek Ale House,No,4.3,555
Boise Fry Company,No,4.4,823
Flying Pie Pizzaria,No,4.1,550
Fork,No,4.4,650
Guido's Original New York Style Pizza,No,4.3,410
Los Beto's,No,4.4,660
Lucianos Italian Restaurant,No,4.4,360
Mai Thai Restaurant,No,4,340
Shige Japanese Cuisine,No,4.1,393
The Egg Factory,No,4.3,422
Tucanos,No,4,435
Texas Roadhouse,Yes,4,369
Brick 29,No,4.4,487
Winifreds,No,3.7,98
Biaggi's Ristorante Italiano,No,4.1,365
El Super Burrito,No,4.1,190
Granite City Food & Brewery,Yes,4.1,429
Irish Democrat,No,4.4,430
Taste of India,Yes,4.2,186
Thai Moon Restaurant,No,4.2,220
Ting's Red Lantern,No,4.2,347
Monica's,No,3.8,161
Exotic India,No,4.1,160
Shorts Burger and Shine,No,4.9,820
The Hamburg Inn No. 2 Inc.,No,4.5,488
Bluebird Diner,No,3.6,253
Graze,No,3.8,220
A & A Pagliai's Pizza,No,4.3,485
Atlas World Grill,No,4.3,428
BlackStone,No,4.1,294
Devotay,No,4,380
Jimmy Jack's Rib Shack,No,4.2,259
Zoeys Pizzeria,No,4.7,433
Tokyo Sushi,No,3.7,176
Berry Patch Restaurant,No,4.3,96
Sakura Sushi & Grill,No,3.1,6
Uptown Vietnam cuisine,No,3.3,33
Cafe Le Rue @ The Landings,No,4.6,489
Mark's City Grille,No,4.5,345
B Merrell's,No,3.8,149
Cannon Brewpub,No,3.9,330
Fuji Japanese Steak House,No,3.9,247
Ruth Ann's Family Restaurant,No,3.7,123
Samurai Japanese Cuisine & Sushi Bar,No,3.6,109
Wasabi Sushi and Thai,No,3.7,134
Buckhead Bar and Grill,No,4.2,722
Burt's Butcher Shoppe and Eatery,No,4.3,213
Chef Lee's Peking Restaurant,No,4,335
Country's Barbecue,No,4,353
Deorio's,No,4,170
Mellow Mushroom,Yes,4.1,192
Meritage,No,4.1,302
Mongo The Mongolian Fire Pit,No,4.2,355
The Black Cow,No,4.3,287
Wood Stone,No,4,264
Hunter's Pub,No,4.4,235
Consort Restaurant,No,3,6
Thatcher's Barbeque and Grill,No,3.7,38
Christian and Jake's Bistro,No,4.4,122
Dub's High on the Hog,No,4.4,207
Sierra's Mexican Restaurant,No,3.9,66
Oakwood Cafe,No,4.9,249
Chili's Grill & Bar,Yes,3.8,63
Fuji Japanese Steakhouse,No,3.8,145
Las Palmas,No,3.8,83
Tony's Italian Restaurant & Pizza,No,3.7,116
Filling Station,No,4.1,122
Five Guys Burgers and Fries,No,4.1,142
Los Pablos,No,4.1,114
Kobe Hibachi & Sushi,No,4.6,214
Soho Hibachi,No,4.3,116
Thai Garden,No,4.2,111
Southern Bliss Bakery,No,3.7,25
Bailey's Bar-B-Que,No,4.1,128
Farm To Fork,No,4.3,244
Home Plate Grill,No,4.2,112
Pie Slingers Pizzeria,No,4.1,144
Olive Tree Cafe,No,4.6,166
"Red Ginger Sushi, Grill & Bar",No,4.5,208
Crust Stone Oven Pizza,No,3.9,136
Jimmy's Pancake House,No,4,85
Trattoria Tiramisu,No,4.1,117
Prairie Grille at SteepleGate Inn,No,3.4,53
Tantra Asian Bistro,No,4.9,474
Chick-fil-A,Yes,3.9,125
Duck City Bistro,No,3.7,201
Frick's Tap,No,0,2
Los Agaves,Yes,0,3
Azteca,No,4.3,167
China Cafe,No,4,112
Exotic Thai Restaurant,No,4.1,256
Front Street Brewery,No,4.3,123
Granite City Food & Brewery,Yes,4,199
Los Agaves,Yes,4.1,157
Machine Shed Restaurant,No,4.1,100
Osaka,No,4.2,141
Texas Roadhouse,Yes,4.2,197
Hickory Park,No,4.5,1025
The Cafe,Yes,4.9,570
Flying Mango,No,4.5,674
Cool Basil,No,4.1,496
HuHot Mongolian Grill,Yes,4,411
Malo,No,3.2,113
Centro,No,4.5,1109
Fong's Pizza,No,4.6,728
A Dong Restaurant,No,4.4,659
Court Avenue Brewing Company,No,4.2,370
Django,No,4.3,532
Miyabi 9,No,4.8,860
Zombie Burger + Drink Lab,No,4.2,943
Tursi's Latin King,No,4.1,476
Tsing Tsao South,No,4.1,218
Bandit Burrito,No,4,214
Jethro's BBQ,No,4.3,699
The Machine Shed Restaurant,No,3.8,308
Mi Patria,No,4,157
Waterfront Seafood Market,No,4.2,530
The Giggling Goat,No,3.6,29
Burnt Toast Cafe,No,3.4,33
Catfish Charlie's,No,3.3,40
Salsa's Mexican Restaurant,No,3.4,153
Tony Roma's,No,3.3,65
Vinny Vanucchi's,No,3.4,58
Champps Americana,No,3.5,100
Fiesta Cancun,No,3.6,156
Happy Joe's Pizza & Ice Cream,No,3.5,74
Houlihan's,No,3.6,117
Ichiban Hibachi Steakhouse & Sushi Bar,No,3.7,83
Kalmes Breaktime Bar & Grill,No,3.6,48
L. May Eatery,No,3.8,198
Los Aztecas,No,3.5,126
Manna Java World Cafe,No,3.5,119
Mario's Italian Restaurant,No,3.6,140
Pepper Sprout Incorporated,No,3.6,159
Shot Tower Inn,No,3.6,131
Sunshine Family Restaurant,No,3.5,60
Watershed Cafe,No,3.7,89
Woodfire Grille,No,3.6,72
The Belle General,No,4.1,56
Jehova es Mi Pastor Tacos y Burritos,No,3.7,83
Flaxton Gardens,No,3.5,37
Bespoke Harvest,No,3.7,29
Houndstooth Grill & Tavern,No,4.4,239
Hawg Wild BBQ & Catfish House,No,4.1,235
Bourbon Street Grille,No,3.8,88
Corkscrew Cafe,No,3.9,209
Smokin Gold BBQ,No,3.9,133
Hoka-Hoka Japanese Steak & Sushi,No,4.4,267
Shenanigan's Irish Pub,No,4.1,171
Fish Tales Lakeside Grille,No,3.8,107
Antebellum,No,4.3,164
Moonie's Texas Barbecue,No,4.1,182
Atlanta Highway Seafood Market,No,4.9,681
Eat at Thai,No,4.6,357
Smoke House BBQ and Catering,No,3.8,89
2 Dog,No,4.2,350
Longstreet Cafe,No,4.3,298
Re-Cess,No,4.2,319
Bodensee,No,3.8,114
Hofer's Bakery & Cafe,No,3.9,136
Troll Tavern,No,2.2,108
The Nacoochee Village Tavern & Pizzeria,No,4,161
Blue Bean Love Cafe,No,3.8,192
La Trattoria of Lavandula,No,3.8,93
5 Little Pigs,No,4.1,40
Beach Box Cafe,No,3.7,100
Funkey Monkey,No,3.8,97
Burger Queen Drive In,No,3.6,41
Blue Orchid Thai Restaurant,No,4.5,799
Stillwater on Belmore,No,3.6,18
Mr.,No,3.5,31
Emilio's Cuban Cafe,No,3.9,146
Ingleside Village Pizza,No,4.9,478
Jim Shaw's Seafood Grill & Bar,No,4.6,467
Mandarin Chinese Restaurant,No,4.5,302
Rookery,No,4.5,289
Dovetail,No,3.8,102
Bonefish Grill,No,4.1,293
Downtown Grill,No,4,195
Greek Corner Deli,No,4.3,244
Natalia's,No,4.2,379
Papouli's Mediterranean Cafe & Market,No,4.2,223
Benson's Steak and Sushi,No,3.7,243
My Fathers Place,No,3.7,104
Sushi Thai Restaurant,No,3.7,153
The Mellow Mushroom,No,3.8,323
El Jalisciense Mexican Restaurant,No,4.1,181
Greek Village,No,4,316
Martin's BBQ,No,4.2,288
Thai Pepper,No,4,232
Zen Japanese Steakhouse and Sushi Bar,No,4.1,314
Star Buffet,No,2.9,11
Triangle Restaurant,No,2.4,17
Three Anchors,No,3.8,176
HI Lite Bar & Lounge,No,3.4,11
Vince's Restaurant & Pizzeria,No,3.6,65
Poets Cafe,No,2.4,193
The Artesian Restaurant,No,3.6,30
Cev?_che Tapas Bar & Restaurant,No,4.4,981
'Ohana,No,4.5,1151
Earl of Sandwich,No,4.7,1341
Raglan Road Irish Pub and Restaurant,No,4.3,782
Caf?? Tu Tu Tango,No,4.6,1293
Texas de Brazil,No,4.6,2324
Bahama Breeze Island Grille,No,4.3,910
Maggiano's Little Italy,No,4.4,886
Hawkers Asian Street Fare,No,4.6,1293
Tako Cheena by Pom Pom,No,4.4,570
Seasons 52 Fresh Grill,No,4.4,1685
Hollerbach's Willow Tree Caf??,No,4.8,1699
Pom Pom's Teahouse and Sandwicheria,No,4.9,1457
Yellow Dog Eats,No,4.9,1252
Tibby's New Orleans Kitchen,No,4.7,1412
The Coop,No,3.6,432
Bosphorous Turkish Cuisine,No,4.2,568
Ethos Vegan Kitchen,No,4.4,797
Hillstone,No,4.4,1158
The Ravenous Pig,No,4.4,1998
Vivo Bar and Grill,No,4.4,381
Pier 70,No,2.6,16
DiVine,No,3.4,19
Cactus Flower Cafe Navarre,No,4.2,635
McGuire's Irish Pub & Brewery,No,4.9,2238
New Yorker Deli & Pizzeria,No,4.6,792
Tu-Do Vietnamese Restaurant,No,4.5,828
Carrabba's Italian Grill,No,3.7,292
Jaco's Bayfront Bar and Grille,No,3.9,502
The Tin Cow,No,3.7,559
Cactus Flower Cafe,No,4.2,1268
Dharma Blue,No,4.1,669
Global Grill,No,4.4,900
Ichiban,Yes,4.3,765
The Fish House,No,4,1270
Tuscan Oven,No,4.1,502
Flounders Chowder House,No,3.9,724
Hemingway's Island Grill,No,3.5,479
Native Cafe,No,4.2,591
Peg Leg Pete's,No,4.4,1408
The Grand Marlin,No,4.3,905
Original Georgios Authentic Greek Food,No,4.7,816
Fisherman's Corner,No,4.4,747
Mad Cowes Cafe,No,3.7,351
Rupes Burgers,No,3.7,104
Texas Roadhouse,Yes,3.5,83
Riverwalk Cafe,No,3.6,91
Royal Hotel,No,3.6,59
Buddy's Italian Restaurant,No,3.7,222
Butterburrs,No,3.6,121
Chang Garden,No,3.5,93
Fifth Street Bagelry,No,3.8,136
Goody's Deli,No,3.8,160
Grecian Key Restaurant,No,3.7,152
Outer Limits Fun Zone,No,3.5,57
Portneuf Valley Brewing,No,3.7,191
Sandpiper Restaurant & Lounge,No,3.6,85
Senor Iguanas,No,3.6,108
Sushi Family,No,3.6,132
Taste of India Nepal,No,3.8,141
Thai Paradise,No,3.7,162
The Bridge,No,3.6,144
Nosh Mahal,No,0,1
El Herradero,No,4.1,365
Barrett Junction Cafe,No,3.3,9
Blue Point Grill,No,4,542
Giovanni's Shrimp Truck,No,4.5,691
Kona Brewing Company,No,4.7,764
Leonard's Bakery,No,4.7,707
Coconuts Fish Cafe,No,4.5,487
Kihei Caffe,No,4.5,695
Monkeypod Kitchen by Merriman,No,4.2,485
Sansei Seafood Restaurant & Sushi Bar,No,4.2,807
Star Noodle,No,4.6,723
Aloha Mixed Plate,No,4.2,874
Gazebo,Yes,4.4,552
Hula Grill,No,4.3,1056
Kimo's,No,4.3,707
Mama's Fish House,No,4.9,1343
Marukame Udon,No,4.9,602
Yard House,No,4.6,1078
Lulu's Waikiki,No,3.9,232
Duke's Waikiki,No,4.4,1492
Eggs 'n Things,No,4,535
Roy's,No,4.2,531
Wailana Coffee House,No,4.2,694
The Lady & Sons,No,3.3,1201
Green Truck Pub,No,4.7,906
Leopold's Ice Cream,No,4.6,880
Mrs. Wilkes' Dining Room,No,4.5,1014
Zunzi's,No,4.5,796
Moon River Brewing Company,No,3.7,747
Pirates' House Restaurant,No,3.8,566
B. Matthew's Eatery,No,4.1,683
Crystal Beer Parlor,No,4.4,690
Goose Feathers Cafe and Bakery,No,4.2,680
Henry's,No,4.1,287
Huey's On The River,No,4.1,802
J. Christopher's,No,4.3,710
Lulu's Chocolate Bar,No,4.3,456
Rocks on the River,No,4,687
SOHO South Cafe,No,4.3,719
The Olde Pink House,No,4.4,1803
Vic's On The River,No,4.1,558
The Crab Shack,Yes,3.8,883
Tybee Island Social Club,No,3.9,309
Sky On 57,No,3.4,34
Cut By Wolfgang Puck,No,4,33
Restaurant Andre,No,3.8,33
Potato Head Folk,No,3.1,34
Jaan,No,3.8,35
Rhubarb Le Restaurant,No,3.9,33
Al'frank Cookies,No,4.2,29
Fratini La Trattoria,No,4.1,35
Boufe Boutique Cafe,No,3.2,29
The Refinery Singapore,No,3.2,30
Chye Seng Huat Hardware,No,3.7,33
Makansutra Gluttons Bay,No,3,25
Colony,No,3.8,30
Summer Pavilion,No,3.9,34
The Lokal,No,3.1,33
I Am,No,3.2,32
Super Loco,No,3.2,30
Artistry,No,3.8,28
Bitters & Love,No,3.9,35
Artichoke Cafe,No,3.2,33
Archie's Waeside,No,3.7,100
Bob Roe's Pizza,No,3.6,92
Da Kao Restaurant,No,3.8,182
Famous Dave's,No,3.6,76
Fuji Bay Japanese Restaurant,No,3.7,129
HuHot Mongolian Grill,Yes,3.6,94
Hunan Palace,No,3.8,129
Jerry's Pizza,No,3.8,178
Jim's Burgers,No,3.7,97
Johnnie Mars,No,3.9,161
Miles Inn,No,3.7,122
Milwaukee Wiener House,No,3.8,195
Minerva's Food & Cocktails,No,3.7,146
Monterrey Mexican Restaurant,No,3.7,117
Rebos,No,3.8,187
Tokyo Japanese Steakhouse & Sushi Bar,No,3.9,239
Diamond Thai Cuisine,No,4,303
El Fredo Pizza,No,4,280
Trattoria Fresco,No,4,271
Kahill's Steak-Fish Chophouse,No,3.5,58
Rumba Island Bar & Grill,No,4.6,1321
Red Mesa Cantina,No,4.6,1629
BellaBrava,No,4.1,921
Ceviche Tapas Bar & Restaurant,Yes,4.1,986
The Moon Under Water,No,4.1,1020
Bern's Steak House,No,4.7,3157
Boca Kitchen Bar Market,No,3.9,665
Edison: Food+Drink Lab,No,3.9,373
Ceviche Tapas Bar & Restaurant,Yes,4.4,1007
Daily Eats,No,4.4,803
Salt Rock Grill,No,4.2,1363
Mazzaro's Italian Market,No,4.9,1424
Conch Republic Grill,No,4.5,844
Mr. Dunderbak's Biergarten and Marketplatz,No,4.9,1413
Red Mesa Restaurant,No,4.5,1203
Datz,No,4.7,3074
Ella's Americana Folk Art Cafe,No,4.8,1715
Taco Bus,No,4.5,1868
The Refinery,No,4,875
Columbia Restaurant,No,4.4,1746
1918 Bistro & Grill,No,4.4,339
Pig and Whistle,No,4.1,87
Buffalo Wild Wings,No,3.4,98
El Toreo Mexican Restaurant,No,3.1,83
306 North Restaurant,No,3.9,231
Austins Cattle Co,No,3.7,216
Beijing Cafe,No,3.8,185
Bleu Cafe,No,3.7,185
Bleu Pub,No,3.8,281
Bubba Jax Crab Shack,No,3.7,137
Cheddar's Scratch Kitchen,No,3.7,209
El Cazador,No,3.7,168
Friends Grille and Bar,No,3.9,243
Giulios Greek & Italian Restaurant,No,3.8,221
La Jalisco Supermercato,No,3.5,46
Masato Japanese,No,3.9,262
Mom & Dad's Italian Restaurant,No,3.7,183
Mori's Japanese Steakhouse & Sushi Bar,No,3.5,208
Passage 2 India,No,3.8,245
Rodeo Mexican Restaurant,No,3.8,199
Steel Magnolias,No,3.8,225
Smok'n Pig B-B-Q,No,4.1,575
Blue House Cafe,No,4.3,88
Anchorage Cafe Restaurant Wine Bar,No,3.6,96
Lake House Restaurant,No,4.3,204
Masala Grill & Coffee House,No,3.2,18
Brown Bottle The Cedar Falls,No,3.7,134
Four Queens Dairy Cream,No,3.9,190
Hong Kong Chinese Restaurant,No,3.8,136
HuHot Mongolian Grill,Yes,3.7,113
J's Homestyle Cooking,No,3.6,69
Montage,No,3.6,89
Mulligan's Brick Oven Grill,No,3.6,80
Sakura,No,3.8,175
Scratch,No,3.7,136
SOHO Sushi Bar & Deli,No,3.6,114
Texas Roadhouse,Yes,3.6,93
Tony's La Pizzeria,No,3.6,89
Chapala,No,3.6,69
Galleria de Paco,No,3.6,86
Golden China,No,3.7,73
Rudy's Tacos,No,3.6,104
The Screaming Eagle,No,3.7,101
The Thai Bowl,No,3.5,58
Tokyo Japanese Steak House,No,3.9,156
Theo Yianni's Authentic Greek Restaurant,No,3.9,156
Fishpatrick's Crabby Cafe,No,3.2,16
Arigato Sushi,No,3.3,26
Denny's,No,4.6,207
Famous Dave's Barbecue,No,4.6,376
Pizza Di Rocco,No,4.4,471
Sofra Istanbul,No,4.3,224
Salt,Yes,4.2,228
Genghis Grill,No,4.6,81
Olive Garden,No,4.1,422
Cho Gao - Crowne Plaza Abu Dhabi,No,4.4,246
Gazebo,Yes,4,355
Sangeetha Vegetarian Restaurant,No,3.6,268
Hot Palayok,No,4.5,162
Applebee's,Yes,4,205
Tikka Tonight,No,4,277
Bait El Khetyar,No,4,380
Indian By Nature,No,4.3,180
Via Delhi,No,4,525
Punjab Grill,Yes,4.9,216
Tamba,No,4.7,201
P.F. Chang's,No,4.2,435
The Cheesecake Factory,Yes,4.6,586
The Farm,No,3.9,927
Maharaja Bhog,No,4.1,1448
Rasoi Ghar,No,4.3,1281
Barbeque Nation,Yes,4.5,307
Farzi Cafe,Yes,4.5,909
AB's Absolute Barbecues,Yes,4.9,641
Carnival By Tresind,No,4.9,322
AB's Absolute Barbecues,Yes,4.8,2510
Hard Rock Cafe,Yes,4.5,1388
The Coffee Club,No,4.5,403
SALT,Yes,4.3,1351
Din Tai Fung,Yes,4.3,661
SpiceKlub,Yes,4.4,281
Tresind - Nassima Royal Hotel,No,4.9,1352
Grand Barbeque Buffet Restaurant,No,4.4,552
Red Lobster,No,3.2,506
The Cheesecake Factory,Yes,4.7,2424
Parker's,No,4.3,386
Applebee's,Yes,3.7,500
Grub Shack,No,4.3,544
Kamat,No,3.9,285
Vadakkan Pepper,No,3.8,210
Gazebo,Yes,4.1,372
Katis Restaurant,No,4.3,316
Zaroob,No,3.9,69
Derby,No,4.1,33
Nayaab Haandi,No,4.1,449
Najmat Lahore Restaurant,No,4.2,504
Saffron,No,4.1,192
Pizza Hut,Yes,2.4,154
Al Mukhtar Bakery,No,4.2,142
Aroos Damascus,No,4.2,444
Nando's,Yes,4.2,265
Peking Chinese Restaurant,No,3.8,227
TGI Friday's,Yes,3.9,357
Rajasthan Al Malaki,No,4.8,459
Applebee's,Yes,4.1,197
Paper Fig,No,4.5,143
Sis Burger,No,3.8,12
Crafted Blends,No,4.2,43
Jahanpanah,No,3.9,140
Rangrezz Restaurant,No,3.5,71
Time2Eat - Mama Chicken,No,3.6,94
Chokho Jeeman Marwari Jain Bhojanalya,No,4,87
Pinch Of Spice,No,4.2,177
MoMo Cafe,No,4,45
Peshawri - ITC Mughal,No,4.3,133
Taj Bano - ITC Mughal,No,4,41
G Thal,No,3.6,59
Dawat-e-Nawab - Radisson Blu,No,3.8,46
The Latitude - Radisson Blu,No,3.9,103
Dasaprakash Restaurant,No,4.1,121
The Charcoal Chimney,No,3.4,70
Sheroes Hangout,No,4.9,77
Bon Barbecue,No,3.8,57
Chapter 1 Cafe,No,3.9,98
Pind Balluchi,Yes,3.7,175
Pizza Hut,Yes,4.4,134
Tea'se Me - Rooftop Tea Boutique,No,4.2,166
Thaaliwala,No,4.1,168
650 - The Global Kitchen,No,4.2,1582
Patang - The Revolving Restaurant,No,3.7,1315
Huber & Holly,No,4.5,217
@Mango,No,4.1,769
Fozzie's Pizzaiolo,No,4.3,731
La Pino'z Pizza,Yes,4.4,113
Mocha,Yes,4.4,944
Blue -  Rooftop Cafe Restaurant Bistro,No,3.8,63
MoMo Caf?? - Courtyard By Marriott,No,3.6,375
Cryo Lab,No,4.6,166
Swati Snacks,No,4.4,697
Brick Kitchen,No,4.3,325
Kabir Restaurant,No,3.8,432
Puffizza,No,4.3,744
Cafe Alfresco,No,4,404
The Cafe Baraco,No,4.4,317
Nini's Kitchen,No,4.5,1138
Yanki Sizzlers,No,4.1,1041
The Garden Cafe - The Fern,No,4.1,192
Mazzo,No,3.9,166
Turquoise Villa,No,4,535
Aryan Family's Delight,No,3.4,57
Bean Here,No,3.3,76
Bikanerwala,No,3.2,51
Dewsis,No,3.4,99
Friends Forever,No,3.4,83
Hotel Ravisha Continental,No,3.4,18
KFC,Yes,3.4,58
McDonald's,Yes,3.3,53
Pind Balluchi,Yes,3.2,6
Pizza Hut,Yes,3.4,35
Subway,Yes,3.4,32
Tandoor Restaurant,No,3.2,151
The BrewMaster,No,3.3,49
The Tamarind Tree,No,3.4,106
Cafe El Chico,No,3.6,59
Eat On,No,3.7,105
Hot Stuff,Yes,3.5,105
Paradise,Yes,3.6,57
Sagar Ratna,Yes,3.5,134
Moti Mahal Delux,Yes,3.3,58
Makhan Fish and Chicken Corner,No,3.4,345
Charming Chicken,No,3.9,151
Ahuja Milk Bhandar,No,4,52
Crystal Restaurant,No,3.4,122
Brijwasi Chat Bhandar,No,3.6,56
Bubby Fish & Chicken Corner,No,3.5,91
Bon Gateau,No,3.4,26
The Yellow Chilli,Yes,3.4,98
La Roma Pizzeria,No,3.5,111
Sakhis Watz Kukin,No,3.6,51
The Kulcha Land,No,3.9,206
Shudh Restaurant,No,3.4,44
Bade Bhai Ka Brothers' Dhaba,No,3.7,94
Bharawan Da Dhaba,No,3.5,461
Brothers Dhaba,No,3.8,276
Brothers' Amritsari Dhaba,No,3.8,71
Gurdas Ram Jalebi Wala,No,4.1,104
Kesar Da Dhabha,No,4.1,878
Beera Chicken Corner,No,3.8,192
Surjit Food Plaza,No,3.5,96
Kanha Sweets,Yes,4.1,140
Kream N Krunch,No,3.6,240
Balbeer's Kitchen & Bar,No,3.3,65
Angeethi Restaurant,No,3.3,63
Domino's Pizza,Yes,3.1,19
Hotel Laadli,No,3.4,46
Indiana Veg Restaurant,No,3.4,75
Madhuban Restaurant - Welcome Hotel Rama International,No,3.4,94
Mauj Restaurant,No,3.3,47
Naivedya,No,3.4,71
d' Curry House,No,3.6,73
Mokoholic Juice Bar,No,3.5,21
Ashoka's Veg Restaurant,No,3.3,46
Kareem's Fine Dining,No,3.3,45
That Baat,No,3.4,34
Bhoj Restaurant,Yes,3.7,89
Downside Up,No,3.2,8
Kareem's Kabab & Biryani,No,3.4,39
Great Sagar Restaurant,No,3.3,74
Kailash Restaurant,No,3.3,76
Yalla Yalla,No,3.3,71
Sultans of Spice,No,4.1,2416
The Fatty Bao - Asian Gastro Bar,No,4.7,2369
Toit,No,4.8,10934
Three Dots & A Dash,No,3.9,1354
Bombay Brasserie,Yes,4.2,231
Glen's Bakehouse,No,4,3533
Onesta,Yes,4.3,1413
Onesta,Yes,4.6,781
ECHOES Koramangala,No,4.7,276
Truffles,Yes,4.7,9667
The Black Pearl,No,4.1,5385
Eat Street,No,4.3,753
Koramangala Social,No,4.5,1288
AB's - Absolute Barbecues,Yes,4.6,6907
Flechazo,No,4.4,983
