Restaurant Name,Price range,Has Table booking,Has Online delivery,Online Delivery by Price Range,Total Restaurants by Price Range,Percentage Offering Online Delivery,Percentage Offering table
Zaz?? Bistr?? Tropical,4,No,No,,,,
Fil?? de Ouro,3,No,No,,,,
D.O.C Ristorante,4,No,No,,,,
Sushi Leblon,4,No,No,,,,
Talho Capixaba,4,No,No,,,,
Leme Light,2,No,No,,,,
Shirley,4,No,No,,,,
Quiosque Chopp Brahma,3,No,No,,,,
Apraz?_vel,4,No,No,,,,
Aconchego Carioca,3,No,No,,,,
Garota de Ipanema,3,No,No,,,,
Cantina Famiglia Mancini,4,No,No,,,,
Templo da Carne - Marcos Bassi,4,No,No,,,,
Gopala Hari,3,No,No,,,,
Jiquitaia,4,No,No,,,,
Skye - Hotel Unique,4,No,No,,,,
Les 3 Brasseurs,4,No,No,,,,
Red Steak & Burger,3,No,No,,,,
Cantinho da Gula,2,No,No,,,,
Paris 6 Classique,4,No,No,,,,
Kawa Sushi,4,No,No,,,,
A Figueira Rubaiyat,4,No,No,,,,
Kinoshita,4,No,No,,,,
Meats,4,No,No,,,,
Paribar,4,No,No,,,,
Terra?_o It??lia,4,No,No,,,,
Divino Fog??o,3,No,No,,,,
Super Grill,2,No,No,,,,
Esquina Mocot?_,4,No,No,,,,
Veloso,3,No,No,,,,
Sainte Marie Gastronomia,4,No,No,,,,
Austin's BBQ and Oyster Bar,2,No,No,,,,
BJ's Country Buffet,1,No,No,,,,
Cookie Shoppe,1,No,No,,,,
El Vaquero Mexican Restaurant,1,No,No,,,,
Elements Coffee Co - Northwest,1,No,No,,,,
Pearly's Famous Country Cookng,1,No,No,,,,
Chick-fil-A,1,No,No,,,,
Guang Zhou Chinese Restaurant,1,No,No,,,,
Harvest Moon,2,No,No,,,,
Henry Campbell's Steakhouse,4,No,No,,,,
Hong Kong Cafe,2,No,No,,,,
House of China Restaurant II,1,No,No,,,,
Jimmie's Hot Dogs,1,No,No,,,,
Locos Grill & Pub,2,No,No,,,,
Longhorn Steakhouse,2,No,No,,,,
Mikata Japanese Steakhouse,3,No,No,,,,
Shogun Japanese Steak House,3,No,No,,,,
The Catch Seafood Room & Oyster Bar,3,No,No,,,,
Villa Gargano,1,No,No,,,,
3 Squares Diner,1,No,No,,,,
Whitebull Hotel,2,No,No,,,,
Last Resort Grill,3,No,No,,,,
Mama's Boy Restaurant,1,No,No,,,,
Sr. Sol 1,1,No,No,,,,
Choo Choo Eastside,1,No,No,,,,
The Grill,1,No,No,,,,
Big City Bread Cafe,1,No,No,,,,
Clocked,1,No,No,,,,
DePalma's Italian Cafe - Downtown,2,No,No,,,,
DePalma's Italian Cafe - East Side,2,No,No,,,,
Five & Ten,3,No,No,,,,
Grit,1,No,No,,,,
Ike & Jane,1,No,No,,,,
La Dolce Vita Ristorante,3,No,No,,,,
Shokitini,2,No,No,,,,
Taqueria Del Sol,1,No,No,,,,
The National,3,No,No,,,,
The Royal Peasant,1,No,No,,,,
Transmetropolitan,1,No,No,,,,
Trappeze Pub,2,No,No,,,,
Viva! Argentine Cuisine,1,No,No,,,,
Miyabi Kyoto Japanese Steak House,3,No,No,,,,
Rae's Coastal Cafe,3,No,No,,,,
The Bee's Knees,2,No,No,,,,
Boll Weevil Cafe,1,No,No,,,,
Farmhaus Burger,2,No,No,,,,
Manuel's Bread Cafe,3,No,No,,,,
Sconyers Bar B Que,2,No,No,,,,
Frog Hollow Tavern,3,No,No,,,,
Giuseppe's Pizza & Italian Specialities,2,No,No,,,,
Mellow Mushroom,2,No,No,,,,
Nacho Mamas Burritos,1,No,No,,,,
Rhinehart's Oyster Bar,2,No,No,,,,
Takosushi,3,No,No,,,,
The Chop House,3,No,No,,,,
The Taj of India,2,No,No,,,,
Augsburg Haus,2,No,No,,,,
Pho Bac,1,No,No,,,,
Thai Kitchen,3,No,No,,,,
El Kiosco Mexican Restaurant,1,No,No,,,,
Taste of Balingup,2,No,No,,,,
Bridge Road Brewers,2,No,No,,,,
Bardenay,2,No,No,,,,
Flatbread Neapolitan Pizzeria,2,No,No,,,,
Goldy's Breakfast Bistro,2,No,No,,,,
Chandlers Steakhouse,4,No,No,,,,
Bar Gernika Basque Pub & Eatery,1,No,No,,,,
Barbacoa Restaurant,4,No,No,,,,
Big Jud's,1,No,No,,,,
Bittercreek Ale House,2,No,No,,,,
Boise Fry Company,1,No,No,,,,
Flying Pie Pizzaria,2,No,No,,,,
Fork,2,No,No,,,,
Guido's Original New York Style Pizza,1,No,No,,,,
Los Beto's,1,No,No,,,,
Lucianos Italian Restaurant,2,No,No,,,,
Mai Thai Restaurant,3,No,No,,,,
Shige Japanese Cuisine,2,No,No,,,,
The Egg Factory,1,No,No,,,,
Tucanos,3,No,No,,,,
Texas Roadhouse,2,No,No,,,,
Brick 29,3,No,No,,,,
Winifreds,3,No,No,,,,
Biaggi's Ristorante Italiano,3,No,No,,,,
El Super Burrito,1,No,No,,,,
Granite City Food & Brewery,3,No,No,,,,
Irish Democrat,2,No,No,,,,
Taste of India,2,No,No,,,,
Thai Moon Restaurant,1,No,No,,,,
Ting's Red Lantern,1,No,No,,,,
Monica's,2,No,No,,,,
Exotic India,2,No,No,,,,
Shorts Burger and Shine,1,No,No,,,,
The Hamburg Inn No. 2 Inc.,1,No,No,,,,
Bluebird Diner,2,No,No,,,,
Graze,3,No,No,,,,
A & A Pagliai's Pizza,2,No,No,,,,
Atlas World Grill,3,No,No,,,,
BlackStone,2,No,No,,,,
Devotay,3,No,No,,,,
Jimmy Jack's Rib Shack,2,No,No,,,,
Zoeys Pizzeria,2,No,No,,,,
Tokyo Sushi,2,No,No,,,,
Berry Patch Restaurant,1,No,No,,,,
Sakura Sushi & Grill,2,No,No,,,,
Uptown Vietnam cuisine,1,No,No,,,,
Cafe Le Rue @ The Landings,2,No,No,,,,
Mark's City Grille,2,No,No,,,,
B Merrell's,2,No,No,,,,
Cannon Brewpub,2,No,No,,,,
Fuji Japanese Steak House,3,No,No,,,,
Ruth Ann's Family Restaurant,1,No,No,,,,
Samurai Japanese Cuisine & Sushi Bar,3,No,No,,,,
Wasabi Sushi and Thai,3,No,No,,,,
Buckhead Bar and Grill,3,No,No,,,,
Burt's Butcher Shoppe and Eatery,2,No,No,,,,
Chef Lee's Peking Restaurant,2,No,No,,,,
Country's Barbecue,2,No,No,,,,
Deorio's,1,No,No,,,,
Meritage,3,No,No,,,,
Mongo The Mongolian Fire Pit,1,No,No,,,,
The Black Cow,2,No,No,,,,
Wood Stone,3,No,No,,,,
Hunter's Pub,3,No,No,,,,
Consort Restaurant,2,No,No,,,,
Thatcher's Barbeque and Grill,2,No,No,,,,
Christian and Jake's Bistro,1,No,No,,,,
Dub's High on the Hog,2,No,No,,,,
Sierra's Mexican Restaurant,1,No,No,,,,
Oakwood Cafe,1,No,No,,,,
Chili's Grill & Bar,2,No,No,,,,
Fuji Japanese Steakhouse,3,No,No,,,,
Las Palmas,1,No,No,,,,
Tony's Italian Restaurant & Pizza,2,No,No,,,,
Filling Station,1,No,No,,,,
Five Guys Burgers and Fries,1,No,No,,,,
Los Pablos,1,No,No,,,,
Kobe Hibachi & Sushi,2,No,No,,,,
Soho Hibachi,1,No,No,,,,
Thai Garden,2,No,No,,,,
Southern Bliss Bakery,1,No,No,,,,
Bailey's Bar-B-Que,1,No,No,,,,
Farm To Fork,1,No,No,,,,
Home Plate Grill,1,No,No,,,,
Pie Slingers Pizzeria,1,No,No,,,,
Olive Tree Cafe,2,No,No,,,,
"Red Ginger Sushi, Grill & Bar",3,No,No,,,,
Crust Stone Oven Pizza,2,No,No,,,,
Jimmy's Pancake House,1,No,No,,,,
Trattoria Tiramisu,2,No,No,,,,
Prairie Grille at SteepleGate Inn,2,No,No,,,,
Tantra Asian Bistro,2,No,No,,,,
Duck City Bistro,4,No,No,,,,
Frick's Tap,2,No,No,,,,
Los Agaves,2,No,No,,,,
Azteca,1,No,No,,,,
China Cafe,2,No,No,,,,
Exotic Thai Restaurant,2,No,No,,,,
Front Street Brewery,1,No,No,,,,
Granite City Food & Brewery,2,No,No,,,,
Machine Shed Restaurant,2,No,No,,,,
Osaka,3,No,No,,,,
Hickory Park,2,No,No,,,,
The Cafe,2,No,No,,,,
Flying Mango,3,No,No,,,,
Cool Basil,2,No,No,,,,
HuHot Mongolian Grill,2,No,No,,,,
Malo,2,No,No,,,,
Centro,3,No,No,,,,
Fong's Pizza,2,No,No,,,,
A Dong Restaurant,1,No,No,,,,
Court Avenue Brewing Company,3,No,No,,,,
Django,3,No,No,,,,
Miyabi 9,2,No,No,,,,
Zombie Burger + Drink Lab,1,No,No,,,,
Tursi's Latin King,4,No,No,,,,
Tsing Tsao South,1,No,No,,,,
Bandit Burrito,1,No,No,,,,
Jethro's BBQ,2,No,No,,,,
The Machine Shed Restaurant,2,No,No,,,,
Mi Patria,2,No,No,,,,
Waterfront Seafood Market,3,No,No,,,,
The Giggling Goat,1,No,No,,,,
Burnt Toast Cafe,1,No,No,,,,
Catfish Charlie's,2,No,No,,,,
Salsa's Mexican Restaurant,1,No,No,,,,
Tony Roma's,2,No,No,,,,
Vinny Vanucchi's,2,No,No,,,,
Champps Americana,2,No,No,,,,
Fiesta Cancun,1,No,No,,,,
Happy Joe's Pizza & Ice Cream,1,No,No,,,,
Houlihan's,2,No,No,,,,
Ichiban Hibachi Steakhouse & Sushi Bar,3,No,No,,,,
Kalmes Breaktime Bar & Grill,2,No,No,,,,
L. May Eatery,3,No,No,,,,
Los Aztecas,1,No,No,,,,
Manna Java World Cafe,1,No,No,,,,
Mario's Italian Restaurant,2,No,No,,,,
Pepper Sprout Incorporated,3,No,No,,,,
Shot Tower Inn,2,No,No,,,,
Sunshine Family Restaurant,1,No,No,,,,
Watershed Cafe,2,No,No,,,,
Woodfire Grille,4,No,No,,,,
The Belle General,2,No,No,,,,
Jehova es Mi Pastor Tacos y Burritos,1,No,No,,,,
Flaxton Gardens,3,No,No,,,,
Bespoke Harvest,2,No,No,,,,
Houndstooth Grill & Tavern,2,No,No,,,,
Hawg Wild BBQ & Catfish House,1,No,No,,,,
Bourbon Street Grille,2,No,No,,,,
Corkscrew Cafe,3,No,No,,,,
Smokin Gold BBQ,1,No,No,,,,
Hoka-Hoka Japanese Steak & Sushi,1,No,No,,,,
Shenanigan's Irish Pub,2,No,No,,,,
Fish Tales Lakeside Grille,2,No,No,,,,
Antebellum,3,No,No,,,,
Moonie's Texas Barbecue,1,No,No,,,,
Atlanta Highway Seafood Market,2,No,No,,,,
Eat at Thai,1,No,No,,,,
Smoke House BBQ and Catering,2,No,No,,,,
2 Dog,2,No,No,,,,
Longstreet Cafe,1,No,No,,,,
Re-Cess,2,No,No,,,,
Bodensee,3,No,No,,,,
Hofer's Bakery & Cafe,1,No,No,,,,
Troll Tavern,2,No,No,,,,
The Nacoochee Village Tavern & Pizzeria,1,No,No,,,,
Blue Bean Love Cafe,2,No,No,,,,
La Trattoria of Lavandula,1,No,No,,,,
5 Little Pigs,2,No,No,,,,
Beach Box Cafe,1,No,No,,,,
Funkey Monkey,1,No,No,,,,
Burger Queen Drive In,1,No,No,,,,
Blue Orchid Thai Restaurant,2,No,No,,,,
Stillwater on Belmore,2,No,No,,,,
Mr.,2,No,No,,,,
Emilio's Cuban Cafe,2,No,No,,,,
Ingleside Village Pizza,1,No,No,,,,
Jim Shaw's Seafood Grill & Bar,2,No,No,,,,
Mandarin Chinese Restaurant,2,No,No,,,,
Rookery,2,No,No,,,,
Dovetail,3,No,No,,,,
Bonefish Grill,3,No,No,,,,
Downtown Grill,4,No,No,,,,
Greek Corner Deli,1,No,No,,,,
Natalia's,4,No,No,,,,
Papouli's Mediterranean Cafe & Market,1,No,No,,,,
Benson's Steak and Sushi,2,No,No,,,,
My Fathers Place,2,No,No,,,,
Sushi Thai Restaurant,1,No,No,,,,
The Mellow Mushroom,2,No,No,,,,
El Jalisciense Mexican Restaurant,1,No,No,,,,
Greek Village,2,No,No,,,,
Martin's BBQ,2,No,No,,,,
Thai Pepper,1,No,No,,,,
Zen Japanese Steakhouse and Sushi Bar,3,No,No,,,,
Star Buffet,2,No,No,,,,
Triangle Restaurant,1,No,No,,,,
Three Anchors,3,No,No,,,,
HI Lite Bar & Lounge,1,No,No,,,,
Vince's Restaurant & Pizzeria,2,No,No,,,,
Poets Cafe,3,No,No,,,,
The Artesian Restaurant,3,No,No,,,,
Cev?_che Tapas Bar & Restaurant,3,No,No,,,,
'Ohana,3,No,No,,,,
Earl of Sandwich,3,No,No,,,,
Raglan Road Irish Pub and Restaurant,4,No,No,,,,
Caf?? Tu Tu Tango,3,No,No,,,,
Texas de Brazil,4,No,No,,,,
Bahama Breeze Island Grille,3,No,No,,,,
Maggiano's Little Italy,4,No,No,,,,
Hawkers Asian Street Fare,3,No,No,,,,
Tako Cheena by Pom Pom,1,No,No,,,,
Seasons 52 Fresh Grill,4,No,No,,,,
Hollerbach's Willow Tree Caf??,3,No,No,,,,
Pom Pom's Teahouse and Sandwicheria,2,No,No,,,,
Yellow Dog Eats,3,No,No,,,,
Tibby's New Orleans Kitchen,2,No,No,,,,
The Coop,2,No,No,,,,
Bosphorous Turkish Cuisine,3,No,No,,,,
Ethos Vegan Kitchen,2,No,No,,,,
Hillstone,3,No,No,,,,
The Ravenous Pig,3,No,No,,,,
Vivo Bar and Grill,3,No,No,,,,
Pier 70,4,No,No,,,,
DiVine,2,No,No,,,,
Cactus Flower Cafe Navarre,2,No,No,,,,
McGuire's Irish Pub & Brewery,3,No,No,,,,
New Yorker Deli & Pizzeria,1,No,No,,,,
Tu-Do Vietnamese Restaurant,1,No,No,,,,
Carrabba's Italian Grill,3,No,No,,,,
Jaco's Bayfront Bar and Grille,2,No,No,,,,
The Tin Cow,2,No,No,,,,
Cactus Flower Cafe,2,No,No,,,,
Dharma Blue,3,No,No,,,,
Global Grill,3,No,No,,,,
Ichiban,2,No,No,,,,
The Fish House,3,No,No,,,,
Tuscan Oven,2,No,No,,,,
Flounders Chowder House,3,No,No,,,,
Hemingway's Island Grill,3,No,No,,,,
Native Cafe,2,No,No,,,,
Peg Leg Pete's,3,No,No,,,,
The Grand Marlin,3,No,No,,,,
Original Georgios Authentic Greek Food,1,No,No,,,,
Fisherman's Corner,3,No,No,,,,
Mad Cowes Cafe,2,No,No,,,,
Rupes Burgers,1,No,No,,,,
Texas Roadhouse,3,No,No,,,,
Riverwalk Cafe,1,No,No,,,,
Royal Hotel,1,No,No,,,,
Buddy's Italian Restaurant,3,No,No,,,,
Butterburrs,3,No,No,,,,
Chang Garden,1,No,No,,,,
Fifth Street Bagelry,1,No,No,,,,
Goody's Deli,1,No,No,,,,
Grecian Key Restaurant,2,No,No,,,,
Outer Limits Fun Zone,1,No,No,,,,
Portneuf Valley Brewing,2,No,No,,,,
Sandpiper Restaurant & Lounge,3,No,No,,,,
Senor Iguanas,1,No,No,,,,
Sushi Family,2,No,No,,,,
Taste of India Nepal,2,No,No,,,,
Thai Paradise,2,No,No,,,,
The Bridge,3,No,No,,,,
Nosh Mahal,2,No,No,,,,
El Herradero,1,No,No,,,,
Barrett Junction Cafe,2,No,No,,,,
Blue Point Grill,4,No,No,,,,
Giovanni's Shrimp Truck,2,No,No,,,,
Kona Brewing Company,3,No,No,,,,
Leonard's Bakery,1,No,No,,,,
Coconuts Fish Cafe,3,No,No,,,,
Kihei Caffe,1,No,No,,,,
Monkeypod Kitchen by Merriman,3,No,No,,,,
Sansei Seafood Restaurant & Sushi Bar,3,No,No,,,,
Star Noodle,1,No,No,,,,
Aloha Mixed Plate,1,No,No,,,,
Gazebo,2,No,No,,,,
Hula Grill,3,No,No,,,,
Kimo's,3,No,No,,,,
Mama's Fish House,4,No,No,,,,
Marukame Udon,1,No,No,,,,
Yard House,3,No,No,,,,
Lulu's Waikiki,2,No,No,,,,
Duke's Waikiki,4,No,No,,,,
Eggs 'n Things,1,No,No,,,,
Roy's,4,No,No,,,,
Wailana Coffee House,2,No,No,,,,
The Lady & Sons,3,No,No,,,,
Green Truck Pub,3,No,No,,,,
Leopold's Ice Cream,1,No,No,,,,
Mrs. Wilkes' Dining Room,3,No,No,,,,
Zunzi's,2,No,No,,,,
Moon River Brewing Company,2,No,No,,,,
Pirates' House Restaurant,3,No,No,,,,
B. Matthew's Eatery,2,No,No,,,,
Crystal Beer Parlor,2,No,No,,,,
Goose Feathers Cafe and Bakery,1,No,No,,,,
Henry's,1,No,No,,,,
Huey's On The River,3,No,No,,,,
J. Christopher's,2,No,No,,,,
Lulu's Chocolate Bar,1,No,No,,,,
Rocks on the River,4,No,No,,,,
SOHO South Cafe,2,No,No,,,,
The Olde Pink House,4,No,No,,,,
Vic's On The River,4,No,No,,,,
The Crab Shack,3,No,No,,,,
Tybee Island Social Club,1,No,No,,,,
Sky On 57,4,No,No,,,,
Cut By Wolfgang Puck,4,No,No,,,,
Restaurant Andre,4,No,No,,,,
Potato Head Folk,4,No,No,,,,
Jaan,4,No,No,,,,
Rhubarb Le Restaurant,4,No,No,,,,
Al'frank Cookies,2,No,No,,,,
Fratini La Trattoria,4,No,No,,,,
Boufe Boutique Cafe,3,No,No,,,,
The Refinery Singapore,4,No,No,,,,
Chye Seng Huat Hardware,3,No,No,,,,
Makansutra Gluttons Bay,3,No,No,,,,
Colony,4,No,No,,,,
Summer Pavilion,4,No,No,,,,
The Lokal,4,No,No,,,,
I Am,4,No,No,,,,
Super Loco,4,No,No,,,,
Artistry,3,No,No,,,,
Bitters & Love,3,No,No,,,,
Artichoke Cafe,4,No,No,,,,
Archie's Waeside,3,No,No,,,,
Bob Roe's Pizza,1,No,No,,,,
Da Kao Restaurant,1,No,No,,,,
Famous Dave's,1,No,No,,,,
Fuji Bay Japanese Restaurant,3,No,No,,,,
Hunan Palace,2,No,No,,,,
Jerry's Pizza,2,No,No,,,,
Jim's Burgers,1,No,No,,,,
Johnnie Mars,1,No,No,,,,
Miles Inn,1,No,No,,,,
Milwaukee Wiener House,1,No,No,,,,
Minerva's Food & Cocktails,3,No,No,,,,
Monterrey Mexican Restaurant,1,No,No,,,,
Rebos,2,No,No,,,,
Tokyo Japanese Steakhouse & Sushi Bar,3,No,No,,,,
Diamond Thai Cuisine,1,No,No,,,,
El Fredo Pizza,3,No,No,,,,
Trattoria Fresco,2,No,No,,,,
Kahill's Steak-Fish Chophouse,4,No,No,,,,
Rumba Island Bar & Grill,2,No,No,,,,
Red Mesa Cantina,2,No,No,,,,
BellaBrava,2,No,No,,,,
Ceviche Tapas Bar & Restaurant,2,No,No,,,,
The Moon Under Water,2,No,No,,,,
Bern's Steak House,4,No,No,,,,
Boca Kitchen Bar Market,3,No,No,,,,
Edison: Food+Drink Lab,4,No,No,,,,
Daily Eats,2,No,No,,,,
Salt Rock Grill,3,No,No,,,,
Mazzaro's Italian Market,1,No,No,,,,
Conch Republic Grill,3,No,No,,,,
Mr. Dunderbak's Biergarten and Marketplatz,3,No,No,,,,
Red Mesa Restaurant,3,No,No,,,,
Datz,3,No,No,,,,
Ella's Americana Folk Art Cafe,3,No,No,,,,
Taco Bus,1,No,No,,,,
The Refinery,3,No,No,,,,
Columbia Restaurant,3,No,No,,,,
1918 Bistro & Grill,3,No,No,,,,
Pig and Whistle,2,No,No,,,,
Buffalo Wild Wings,2,No,No,,,,
El Toreo Mexican Restaurant,2,No,No,,,,
306 North Restaurant,3,No,No,,,,
Austins Cattle Co,3,No,No,,,,
Beijing Cafe,3,No,No,,,,
Bleu Cafe,2,No,No,,,,
Bleu Pub,1,No,No,,,,
Bubba Jax Crab Shack,3,No,No,,,,
Cheddar's Scratch Kitchen,2,No,No,,,,
El Cazador,1,No,No,,,,
Friends Grille and Bar,2,No,No,,,,
Giulios Greek & Italian Restaurant,3,No,No,,,,
La Jalisco Supermercato,1,No,No,,,,
Masato Japanese,2,No,No,,,,
Mom & Dad's Italian Restaurant,2,No,No,,,,
Mori's Japanese Steakhouse & Sushi Bar,4,No,No,,,,
Passage 2 India,2,No,No,,,,
Rodeo Mexican Restaurant,2,No,No,,,,
Steel Magnolias,3,No,No,,,,
Smok'n Pig B-B-Q,2,No,No,,,,
Blue House Cafe,1,No,No,,,,
Anchorage Cafe Restaurant Wine Bar,2,No,No,,,,
Lake House Restaurant,4,No,No,,,,
Masala Grill & Coffee House,1,No,No,,,,
Brown Bottle The Cedar Falls,2,No,No,,,,
Four Queens Dairy Cream,1,No,No,,,,
Hong Kong Chinese Restaurant,1,No,No,,,,
J's Homestyle Cooking,1,No,No,,,,
Montage,3,No,No,,,,
Mulligan's Brick Oven Grill,2,No,No,,,,
Sakura,3,No,No,,,,
Scratch,1,No,No,,,,
SOHO Sushi Bar & Deli,2,No,No,,,,
Tony's La Pizzeria,2,No,No,,,,
Chapala,2,No,No,,,,
Galleria de Paco,3,No,No,,,,
Golden China,1,No,No,,,,
Rudy's Tacos,2,No,No,,,,
The Screaming Eagle,1,No,No,,,,
The Thai Bowl,1,No,No,,,,
Tokyo Japanese Steak House,2,No,No,,,,
Theo Yianni's Authentic Greek Restaurant,2,No,No,,,,
Fishpatrick's Crabby Cafe,2,No,No,,,,
Arigato Sushi,2,No,No,,,,
Denny's,4,No,No,,,,
Famous Dave's Barbecue,4,No,Yes,,,,
Pizza Di Rocco,3,Yes,Yes,,,,
Sofra Istanbul,2,No,No,,,,
Salt,3,No,No,,,,
Genghis Grill,4,No,No,,,,
Olive Garden,4,No,No,,,,
Cho Gao - Crowne Plaza Abu Dhabi,4,Yes,Yes,,,,
Gazebo,3,Yes,Yes,,,,
Sangeetha Vegetarian Restaurant,2,No,Yes,,,,
Hot Palayok,3,No,Yes,,,,
Applebee's,4,No,Yes,,,,
Tikka Tonight,2,No,Yes,,,,
Bait El Khetyar,2,No,Yes,,,,
Indian By Nature,3,Yes,Yes,,,,
Via Delhi,3,No,Yes,,,,
Punjab Grill,4,Yes,No,,,,
Tamba,4,Yes,No,,,,
P.F. Chang's,4,No,No,,,,
The Cheesecake Factory,4,No,No,,,,
The Farm,3,Yes,No,,,,
Maharaja Bhog,2,Yes,Yes,,,,
Rasoi Ghar,2,Yes,Yes,,,,
Barbeque Nation,3,Yes,No,,,,
Farzi Cafe,3,Yes,No,,,,
AB's Absolute Barbecues,3,Yes,No,,,,
Carnival By Tresind,4,Yes,No,,,,
Hard Rock Cafe,4,No,No,,,,
The Coffee Club,3,No,Yes,,,,
SpiceKlub,3,Yes,No,,,,
Tresind - Nassima Royal Hotel,4,Yes,No,,,,
Grand Barbeque Buffet Restaurant,3,Yes,Yes,,,,
Red Lobster,3,No,No,,,,
The Cheesecake Factory,3,No,No,,,,
Parker's,3,No,No,,,,
Applebee's,3,No,Yes,,,,
Grub Shack,3,Yes,Yes,,,,
Kamat,3,No,Yes,,,,
Vadakkan Pepper,3,No,Yes,,,,
Gazebo,4,No,Yes,,,,
Katis Restaurant,3,No,No,,,,
Zaroob,4,No,Yes,,,,
Derby,2,No,No,,,,
Nayaab Haandi,4,No,Yes,,,,
Najmat Lahore Restaurant,3,No,Yes,,,,
Saffron,3,No,Yes,,,,
Pizza Hut,3,No,No,,,,
Al Mukhtar Bakery,2,No,No,,,,
Aroos Damascus,3,No,No,,,,
Nando's,4,No,Yes,,,,
Peking Chinese Restaurant,4,No,Yes,,,,
TGI Friday's,4,No,Yes,,,,
Rajasthan Al Malaki,3,No,No,,,,
Paper Fig,4,No,No,,,,
Sis Burger,2,No,No,,,,
Crafted Blends,4,No,No,,,,
Jahanpanah,3,No,No,,,,
Rangrezz Restaurant,2,No,No,,,,
Time2Eat - Mama Chicken,2,No,No,,,,
Chokho Jeeman Marwari Jain Bhojanalya,2,No,No,,,,
Pinch Of Spice,3,No,No,,,,
MoMo Cafe,4,No,No,,,,
Peshawri - ITC Mughal,4,No,No,,,,
Taj Bano - ITC Mughal,4,No,No,,,,
G Thal,3,No,No,,,,
Dawat-e-Nawab - Radisson Blu,4,No,No,,,,
The Latitude - Radisson Blu,1,No,No,,,,
Dasaprakash Restaurant,2,No,No,,,,
The Charcoal Chimney,3,No,No,,,,
Sheroes Hangout,1,No,No,,,,
Bon Barbecue,4,No,No,,,,
Chapter 1 Cafe,1,No,No,,,,
Pind Balluchi,3,No,No,,,,
Pizza Hut,2,No,No,,,,
Tea'se Me - Rooftop Tea Boutique,3,No,No,,,,
Thaaliwala,2,No,No,,,,
650 - The Global Kitchen,3,No,No,,,,
Patang - The Revolving Restaurant,4,No,No,,,,
Huber & Holly,1,No,Yes,,,,
@Mango,3,No,No,,,,
Fozzie's Pizzaiolo,3,No,Yes,,,,
La Pino'z Pizza,2,No,Yes,,,,
Mocha,3,No,Yes,,,,
Blue -  Rooftop Cafe Restaurant Bistro,3,No,Yes,,,,
MoMo Caf?? - Courtyard By Marriott,3,No,No,,,,
Cryo Lab,2,No,No,,,,
Swati Snacks,2,No,No,,,,
Brick Kitchen,3,No,No,,,,
Kabir Restaurant,2,No,Yes,,,,
Puffizza,2,No,Yes,,,,
Cafe Alfresco,2,No,Yes,,,,
The Cafe Baraco,2,No,Yes,,,,
Nini's Kitchen,3,No,Yes,,,,
Yanki Sizzlers,3,No,No,,,,
The Garden Cafe - The Fern,3,No,No,,,,
Mazzo,2,No,Yes,,,,
Turquoise Villa,3,No,No,,,,
Aryan Family's Delight,3,No,No,,,,
Bean Here,2,No,No,,,,
Bikanerwala,3,No,No,,,,
Dewsis,3,No,No,,,,
Friends Forever,3,No,No,,,,
Hotel Ravisha Continental,3,No,No,,,,
KFC,3,No,No,,,,
McDonald's,2,No,No,,,,
Subway,2,No,No,,,,
Tandoor Restaurant,3,No,No,,,,
